"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d6237b00-326b-45f0-846c-8843198f98ff","Tite_entries_entry-720.0_vitellius-bi.txt","Peter Balle","char-offset:871","PERSON","","","","","","","","","","",""
"c1a1fabd-48b0-46bc-8b9f-338a1cddac8c","Tite_entries_entry-720.0_vitellius-bi.txt","Peter Balle, 1640 (205.1: ‘. . .concerninge Religion       from  Hen. 6. downward.  marked  Vitellius B.T’, ? this,       but see below).","char-offset:871","","","","","","","","","Loan","","",""
"99ab42c3-64d7-4f18-aa59-24efee849898","Tite_entries_entry-720.0_vitellius-bi.txt","1640","char-offset:884","","","","","","","","","Date","","",""
"11b79d0e-d90e-4859-8f42-4220832556ae","Tite_entries_entry-720.0_vitellius-bi.txt","205.1","char-offset:890","","","","","","","","","List Reference","","",""
"68f3d798-0a6e-46b5-855f-f1350a7ad3c1","Tite_entries_entry-729.0_vitellius-bviii.txt","James Ware, 1651 (228.1).","char-offset:174","","","","","","","","","Loan","","",""
"d97f67f6-80b6-42ad-b20a-7792677c1399","Tite_entries_entry-729.0_vitellius-bviii.txt","James Ware,","char-offset:174","PERSON","","","","","","","","","","",""
"f13669eb-e59a-4219-ad76-7001575c32b5","Tite_entries_entry-729.0_vitellius-bviii.txt","1651","char-offset:186","","","","","","","","","Date","","",""
"1990a6e0-0840-4cf9-9e1d-e363df6c6fc2","Tite_entries_entry-729.0_vitellius-bviii.txt","228.1","char-offset:192","","","","","","","","","List Reference","","",""
"4262d968-ee68-40d6-8ddd-399ee385fb86","Tite_entries_entry-721.0_vitellius-bii.txt","Sir William Howard,","char-offset:149","PERSON","","","","","","","","","","",""
"54a4a442-6452-48d5-9daa-655d8e16073e","Tite_entries_entry-721.0_vitellius-bii.txt","Sir William Howard, 1638 (173.1)","char-offset:149","","","","","","","","","Loan","","",""
"4aa806f5-e81d-4e06-9404-e7961d57132f","Tite_entries_entry-721.0_vitellius-bii.txt","1638","char-offset:169","","","","","","","","","Date","","",""
"b4e93317-5837-4ef8-8d2b-15f08c58af16","Tite_entries_entry-721.0_vitellius-bii.txt","173.1","char-offset:175","","","","","","","","","List Reference","","",""
"3ff345e3-3e20-4b40-bb7a-8de035488ac6","Tite_entries_entry-721.0_vitellius-bii.txt","Godfrey Goodman,","char-offset:183","PERSON","","","","","","","","","","",""
"351ea87c-551e-4a4b-bac5-1a3f84b5e618","Tite_entries_entry-721.0_vitellius-bii.txt","Godfrey Goodman,       1640 (195.1)","char-offset:183","","","","","","","","","Loan","","",""
"c63689cf-cbf8-45d8-8214-02153bd988c1","Tite_entries_entry-721.0_vitellius-bii.txt","1640","char-offset:206","","","","","","","","","Date","","",""
"fad5e4b8-8fc6-47e6-bb24-6d7be9d4d37f","Tite_entries_entry-721.0_vitellius-bii.txt","195.1","char-offset:212","","","","","","","","","List Reference","","",""
"77af7958-4657-43d7-bd10-ac6a21541f51","Tite_entries_entry-721.0_vitellius-bii.txt","Henry Bourchier","char-offset:220","PERSON","","","","","","","","","","",""
"7769b66c-34a9-4420-bde7-6ecdf632595d","Tite_entries_entry-721.0_vitellius-bii.txt","Henry Bourchier, 1653 or 1654 (248.1).","char-offset:220","","","","","","","","","Loan","","",""
"2d936e81-25f7-4715-8ffb-bd1b241090ae","Tite_entries_entry-721.0_vitellius-bii.txt","1653 or 1654","char-offset:237","","","","","","","","","Date","","",""
"c94de35d-5cec-4000-b050-c2bbcfa7679d","Tite_entries_entry-721.0_vitellius-bii.txt","248.1","char-offset:251","","","","","","","","","List Reference","","",""
"a0f478d5-d29b-41ec-aff9-d576c658c19b","Tite_entries_entry-726.0_vitellius-bv.txt","Henry Bourchier, before 1637 (79.2: ? this).","char-offset:180","","","","","","","","","Loan|Uncertain Book","","",""
"fc388f48-51ff-473d-b1d5-da610b1adddb","Tite_entries_entry-726.0_vitellius-bv.txt","Henry Bourchier","char-offset:180","PERSON","","","","","","","","","","",""
"8a8d40c0-6716-43ad-a3ea-dc5ac1323c8b","Tite_entries_entry-726.0_vitellius-bv.txt","before 1637","char-offset:197","","","","","","","","","Date","","",""
"b67fd354-b09b-4628-913c-010070626459","Tite_entries_entry-726.0_vitellius-bv.txt","79.2","char-offset:210","","","","","","","","","List Reference","","",""
"796a1f09-cf52-4031-8e59-7641b57becd9","Tite_entries_entry-751.0_vitellius-bxxi.txt","Edward   Herbert, 1636  (116.3 and  118.4: ? fols       194-208,  art. 74-76, of this and / or ? Otho C.X, ? Vit.       C.XI, ? XVI).","char-offset:427","","","","","","","","","Loan","","",""
"a3d5108d-2aaf-4466-a124-9e6004c2d3b1","Tite_entries_entry-751.0_vitellius-bxxi.txt","Edward   Herbert","char-offset:427","PERSON","","","","","","","","","","",""
"dc0f874d-6842-4ea1-be04-9c94ee7c09aa","Tite_entries_entry-751.0_vitellius-bxxi.txt","1636","char-offset:445","","","","","","","","","Date","","",""
"a6a0e8e6-d8f0-4a5b-887a-9d600c989baa","Tite_entries_entry-751.0_vitellius-bxxi.txt","116.3 and  118.4","char-offset:452","","","","","","","","","List Reference","","",""
"b38c57be-de58-44fe-a572-51aece0b843b","Tite_entries_entry-751.0_vitellius-bxxi.txt","? fols       194-208,  art. 74-76, of this and / or ? Otho C.X, ? Vit.       C.XI, ? XVI","char-offset:470","","","","","","","","","Partial|Uncertain Book","","",""
