"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b9d3684a-57e2-4ba0-858e-edbcaf5f88ac","Tite_entries_entry-409.0_nero-axvii.txt","John Selden","char-offset:186","PERSON","","","","","","","","","","",""
"fff7f992-a439-46be-80b7-f363b2861efb","Tite_entries_entry-409.0_nero-axvii.txt","John Selden, 1638 (157.1).","char-offset:186","","","","","","","","","Loan","","",""
"a76543e6-95eb-4c2f-9345-3e42b60dfc81","Tite_entries_entry-409.0_nero-axvii.txt","1638","char-offset:199","","","","","","","","","Date","","",""
"2a25bea3-f145-48fb-baa6-45a932143e32","Tite_entries_entry-409.0_nero-axvii.txt","157.1","char-offset:205","","","","","","","","","List Reference","","",""
"5db50433-75db-4c85-8f14-63794cee2b83","Tite_entries_entry-396.0_nero-avii.txt","Patrick Young, c.1616 (49.4);","char-offset:234","","","","","","","","","Loan","","",""
"dfb2b0d7-d59f-41be-94e9-bbe540a169bb","Tite_entries_entry-396.0_nero-avii.txt","Patrick Young","char-offset:234","PERSON","","","","","","","","","","",""
"edcff63f-0eaa-40c5-8cac-f51f00898fd8","Tite_entries_entry-396.0_nero-avii.txt","c.1616","char-offset:249","","","","","","","","","Date","","",""
"5615c4a8-e3b1-41e4-a04e-75cb3aea0271","Tite_entries_entry-396.0_nero-avii.txt","49.4","char-offset:257","","","","","","","","","List Reference","","",""
"1d61fe5e-7017-4540-9fe5-9e662943f8ff","Tite_entries_entry-396.0_nero-avii.txt","John Selden, c.1638         (163.19: this or Claud. A-VII).","char-offset:264","","","","","","","","","Loan","","",""
"f128b84b-fd41-4d4b-94ec-8d4b1cb354b1","Tite_entries_entry-396.0_nero-avii.txt","John Selden","char-offset:264","PERSON","","","","","","","","","","",""
"29baacf1-4b8d-4ab8-b1c8-2b2824a6fe79","Tite_entries_entry-396.0_nero-avii.txt","c.1638","char-offset:277","","","","","","","","","Date","","",""
"f0e9c3ee-6837-4de1-af96-d0d0e7515974","Tite_entries_entry-396.0_nero-avii.txt","163.19","char-offset:293","","","","","","","","","List Reference","","",""
"62fcca54-27e6-4678-bdae-030dbc2b7c89","Tite_entries_entry-396.0_nero-avii.txt","this or Claud. A-VII","char-offset:301","","","","","","","","","Uncertain Book","","",""
"07952988-e51f-4911-81f6-54cd1276ed98","Tite_entries_entry-406.0_nero-axv.txt","Richard Bancroft","char-offset:249","PERSON","","","","","","","","","","",""
"a807ca32-1443-4bdf-9b3f-2c0e67504b09","Tite_entries_entry-406.0_nero-axv.txt","Richard Bancroft, 1608, by hand  of Zachariah            Pasfeild (29.21: (1) this + fols 1-92, art. 1, of Nero A.XVI,            Tit. A.I or Dom. XV, or (2) Otho E.V)","char-offset:249","","","","","","","","","Loan","","",""
"fc82f014-e466-4620-aba9-210ab8900773","Tite_entries_entry-406.0_nero-axv.txt","1608","char-offset:267","","","","","","","","","Date","","",""
"663398f3-30bd-49c5-af8d-2630a1264ee7","Tite_entries_entry-406.0_nero-axv.txt","Zachariah            Pasfeild","char-offset:285","PERSON","","","","","","","","Agent","","",""
"0bb0440a-b98c-40dd-b303-ac4a972aa8fa","Tite_entries_entry-406.0_nero-axv.txt","29.21","char-offset:316","","","","","","","","","List Reference","","",""
"d2207346-8654-402b-858a-5fe22dfc47a4","Tite_entries_entry-406.0_nero-axv.txt","(1) this + fols 1-92, art. 1, of Nero A.XVI,            Tit. A.I or Dom. XV, or (2) Otho E.V","char-offset:323","","","","","","","","","Uncertain Book","","",""
"944c659e-c9ee-4427-abe9-2f73e559a0e2","Tite_entries_entry-406.0_nero-axv.txt","Peter Balle, 1651            (127: this, Tib. A-VI, Claud. C.XI, Nero A.XVI, Vesp.            A.XIX, Tit. A.I or Dom. XV).","char-offset:418","","","","","","","","","Loan","","",""
"08a30a69-edd0-4e56-9106-190fa2a03b2b","Tite_entries_entry-406.0_nero-axv.txt","Peter Balle","char-offset:418","PERSON","","","","","","","","","","",""
"07984ff0-8564-4347-8be4-b9003fd23c03","Tite_entries_entry-406.0_nero-axv.txt","1651","char-offset:431","","","","","","","","","Date","","",""
"ed21b3a7-c615-427f-960b-576ef577379b","Tite_entries_entry-406.0_nero-axv.txt","127","char-offset:448","","","","","","","","","List Reference","","",""
"600b6c32-b326-4358-965d-b9a05a78c407","Tite_entries_entry-406.0_nero-axv.txt","this, Tib. A-VI, Claud. C.XI, Nero A.XVI, Vesp.            A.XIX, Tit. A.I or Dom. XV","char-offset:453","","","","","","","","","Uncertain Book","","",""
"8c5e06bf-3ac7-4aba-b1f8-3eaa0ab3172d","Tite_entries_entry-394.0_nero-av.txt","Richard  Bancroft","char-offset:179","PERSON","","","","","","","","","","",""
"973a4ca9-8f9a-4c09-8e6f-5e37f7ee215e","Tite_entries_entry-394.0_nero-av.txt","Richard  Bancroft, 1608, by hand  of Zachariah                   Pasfeild (9.2: (2) this or Dom. XI, or (1) Jul. A-XI);","char-offset:179","","","","","","","","","Loan","","",""
"4becfa9e-89c7-40e4-bd9c-de1f4db47fb6","Tite_entries_entry-394.0_nero-av.txt","1608","char-offset:198","","","","","","","","","Date","","",""
"c23e3408-71ae-49c4-895d-adbd98bef04c","Tite_entries_entry-394.0_nero-av.txt","Zachariah                   Pasfeild","char-offset:216","PERSON","","","","","","","","Agent","","",""
"8c4c3e3f-085e-43bd-85e8-fd2a87ac40db","Tite_entries_entry-394.0_nero-av.txt","9.2","char-offset:254","","","","","","","","","List Reference","","",""
"634b976c-aadf-43f2-9394-48a50bec7ed4","Tite_entries_entry-394.0_nero-av.txt","(2) this or Dom. XI, or (1) Jul. A-XI","char-offset:259","","","","","","","","","Uncertain Book","","",""
"c3b4e4f8-eb2b-47d7-8511-8d5ab8ca9ddf","Tite_entries_entry-394.0_nero-av.txt","Augustine Lindsell, 1621 (2.35: (1) this or (2) Tit. D.X1).","char-offset:317","","","","","","","","","Loan","","",""
"a27417e5-4813-4590-9039-3fbd99a70bf9","Tite_entries_entry-394.0_nero-av.txt","Augustine Lindsell","char-offset:317","PERSON","","","","","","","","","","",""
"7a606daa-3bd3-4134-b6d6-3acca9aaec13","Tite_entries_entry-394.0_nero-av.txt","1621","char-offset:337","","","","","","","","","Date","","",""
"f90ecd85-d0ac-490d-80d5-73df96aa81cc","Tite_entries_entry-394.0_nero-av.txt","2.35","char-offset:343","","","","","","","","","List Reference","","",""
"3ec31b56-5144-4920-8016-0f1524e1e03c","Tite_entries_entry-394.0_nero-av.txt","(1) this or (2) Tit. D.X1","char-offset:349","","","","","","","","","Uncertain Book","","",""
"9f5bfed8-2ad3-40ea-96e7-7b1aede3904b","Tite_entries_entry-389.0_nero-ai.txt","Henry  Howard,  c.1612 (21.4; an undated tran-       script of a letter from Howard to Cotton, asking for the       loan of books of pre-Conquest  laws, is in Bodl., MS       Smith  71 (SC 15677), p. 15);","char-offset:1206","","","","","","","","","Loan","","",""
"426478cc-eac5-4890-8d38-84dfd2b354f8","Tite_entries_entry-389.0_nero-ai.txt","Henry  Howard,","char-offset:1206","PERSON","","","","","","","","","","",""
"b6c8564b-c0b1-402a-a4f6-3a40acc37826","Tite_entries_entry-389.0_nero-ai.txt","c.1612","char-offset:1222","","","","","","","","","Date","","",""
"300af737-5f69-4806-a640-251840328e19","Tite_entries_entry-389.0_nero-ai.txt","21.4","char-offset:1230","","","","","","","","","List Reference","","",""
"03a0fcd4-9b0d-454f-a883-6910c7dad7db","Tite_entries_entry-389.0_nero-ai.txt","? Francis Bacon, ? by 1613       (23.4: (2) this or (1) Jul. C.1D; Tate, 1612-16 (73.3);","char-offset:1411","","","","","","","","","Loan","","",""
