"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"da5a5dd2-e302-4188-b1e1-f9040e066502","Tite_entries_entry-1577.5_london-society-of-antiquaries-ms-116.txt","Henry  Montagu,  1621 (2.25: ? this).","char-offset:307","","","","","","","","","Loan|Uncertain Book","","",""
"061c4fa5-8b81-444d-a97e-c3919d698b1d","Tite_entries_entry-1577.5_london-society-of-antiquaries-ms-116.txt","Henry  Montagu","char-offset:307","PERSON","","","","","","","","","","",""
"444ba416-2b52-4765-8735-797399bbefda","Tite_entries_entry-1577.5_london-society-of-antiquaries-ms-116.txt","1621","char-offset:324","","","","","","","","","Date","","",""
"e3b12566-19db-42d6-ac67-f8ef52f7546c","Tite_entries_entry-1577.5_london-society-of-antiquaries-ms-116.txt","2.25","char-offset:330","","","","","","","","","List Reference","","",""
"7c7cf7fa-22a4-476e-aebd-7750b2372ae2","Tite_entries_entry-1593.0_oxford-bodleian-library-ms-dodsworth-76-sc-5018.txt","Roger Dodsworth","char-offset:135","PERSON","","","","","","","","","","",""
"fc20dcbe-64a8-48e3-9467-e609c35fe71a","Tite_entries_entry-1593.0_oxford-bodleian-library-ms-dodsworth-76-sc-5018.txt","Roger Dodsworth,  1622 (2.120: ? this).","char-offset:135","","","","","","","","","Loan|Uncertain Book","","",""
"c2b094f7-d617-4853-b5ce-6f7476c3dff3","Tite_entries_entry-1593.0_oxford-bodleian-library-ms-dodsworth-76-sc-5018.txt","1622","char-offset:153","","","","","","","","","Date","","",""
"1fd244ee-3977-4a16-8e30-2697650cbc60","Tite_entries_entry-1593.0_oxford-bodleian-library-ms-dodsworth-76-sc-5018.txt","2.120","char-offset:159","","","","","","","","","List Reference","","",""
"75f5ebd0-f50a-4a49-bb90-6edf9c1fc40a","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","Henry  Montagu","char-offset:179","PERSON","","","","","","","","","","",""
"ed3f4e5e-3101-4051-b25f-cad7c6749b15","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","Henry  Montagu,  by 1631 (113.4: this or Tit. E.1;","char-offset:179","","","","","","","","","Loan","","",""
"a65c0342-26d4-4fe3-bb5c-021637d8eb6b","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","by 1631","char-offset:196","","","","","","","","","Date","","",""
"75565554-690d-4fd2-b346-7f5b5cd08099","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","113.4:","char-offset:205","","","","","","","","","List Reference","","",""
"6b141290-35a7-43ac-9583-6309aef8ecfe","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","this or Tit. E.1;","char-offset:212","","","","","","","","","Uncertain Book","","",""
"62ea6f72-059d-405f-985e-4651f5d8c28f","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","Thomas   Coventry","char-offset:241","PERSON","","","","","","","","","","",""
"5913d26f-89db-4b37-87b3-87117bc8c4e6","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","Thomas   Coventry, by 1631 (113.20: this or Tit. E.1);","char-offset:241","","","","","","","","","Loan","","",""
"e52db369-1269-480c-bc11-b5a9def630eb","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","by 1631","char-offset:260","","","","","","","","","Date","","",""
"de4a4ea7-b2bf-4dd9-b0ba-b0dbdae0dd42","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","113.20","char-offset:269","","","","","","","","","List Reference","","",""
"1c2c46a0-70f2-4da3-bda5-66261be80ee9","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","this or Tit. E.1","char-offset:277","","","","","","","","","Uncertain Book","","",""
"38ba54d1-8031-4934-9185-b7e8549c22d3","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","John  Selden,","char-offset:307","PERSON","","","","","","","","","","",""
"360bcd8e-d87c-4a5a-ba01-d6f95259c907","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","John  Selden, c.1640 (209.9: this or Tit. E.I).","char-offset:307","","","","","","","","","Loan","","",""
"52e9d36f-6032-482b-ba10-b4a3b6ef2a29","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","c.1640","char-offset:321","","","","","","","","","Date","","",""
"a809f561-a7f0-4121-9395-fc12193326be","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","209.9","char-offset:329","","","","","","","","","List Reference","","",""
"a05a5873-539a-432c-8010-892923b98631","Tite_entries_entry-1522.0_london-british-library-additional-ms-33216.txt","this or Tit. E.I","char-offset:336","","","","","","","","","Uncertain Book","","",""
"c6f8ca8a-694e-4bed-8e7a-29e16cc61043","Tite_entries_entry-1536.0_london-british-library-harley-ms-988.txt","Paul Thomson","char-offset:121","PERSON","","","","","","","","","","",""
"8f2b7535-38f6-42b2-9b7b-c5e29ced4090","Tite_entries_entry-1536.0_london-british-library-harley-ms-988.txt","Paul Thomson, by 1617 (24.5: ? this).","char-offset:121","","","","","","","","","Loan|Uncertain Book","","",""
"8013ffb7-3c06-4ae2-8e39-c14f93996bbd","Tite_entries_entry-1536.0_london-british-library-harley-ms-988.txt","by 1617","char-offset:135","","","","","","","","","Date","","",""
"e195ee6d-ffd4-4925-a90e-fe714af24369","Tite_entries_entry-1536.0_london-british-library-harley-ms-988.txt","24.5","char-offset:144","","","","","","","","","List Reference","","",""
"94c8224c-851f-4c07-85ae-cf9fdca457da","Tite_entries_entry-1568.0_london-british-library-royal-ms-16-cxxv.txt","Henry Savile","char-offset:557","PERSON","","","","","","","","","","",""
"f6f7a2d9-4512-454f-9be4-3480ef692bf3","Tite_entries_entry-1568.0_london-british-library-royal-ms-16-cxxv.txt","Henry Savile, 1611 (Jul. C.III, fol. 333: ? this).","char-offset:557","","","","","","","","","Loan|Uncertain Book","","",""
"58167427-829c-4d5c-830d-f3729573f883","Tite_entries_entry-1568.0_london-british-library-royal-ms-16-cxxv.txt","1611","char-offset:571","","","","","","","","","Date","","",""
"43597b0c-4fcf-447e-aee9-b6f5a6505d69","Tite_entries_entry-1568.0_london-british-library-royal-ms-16-cxxv.txt","Jul. C.III, fol. 333","char-offset:577","","","","","","","","","List Reference","","",""
