"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"3f5f3496-fd5c-4fc9-8d53-6e25aef07073","Tite_entries_entry-19.0_julius-biv.txt","George Buc, ? 1611 (62.2: ? this)","char-offset:261","","","","","","","","","Loan","","",""
"5ac228a0-721e-486d-8a09-e26d406ff992","Tite_entries_entry-19.0_julius-biv.txt","George Buc","char-offset:261","PERSON","","","","","","","","","","",""
"c467dc04-b02b-4b2d-9c45-311e3e1fdb16","Tite_entries_entry-19.0_julius-biv.txt","1611","char-offset:275","","","","","","","","","Date","","",""
"2432ac74-4fa7-441d-a092-8018ea5fb350","Tite_entries_entry-19.0_julius-biv.txt","62.2","char-offset:281","","","","","","","","","Reference","","",""
"1f8d8614-7218-4c16-bb8b-331e0dc4e48f","Tite_entries_entry-19.0_julius-biv.txt","Arthur Agarde","char-offset:296","PERSON","","","","","","","","","","",""
"1b927f5a-1990-407a-8e3a-5d6239226052","Tite_entries_entry-19.0_julius-biv.txt","Arthur Agarde,        1612-15 (18.7).","char-offset:296","","","","","","","","","Loan","","",""
"765eedce-1d5e-402d-91a8-921dd2b7935d","Tite_entries_entry-19.0_julius-biv.txt","1612-15","char-offset:318","","","","","","","","","Date","","",""
"46a605ff-9f5a-46a1-96e8-45d294235e99","Tite_entries_entry-19.0_julius-biv.txt","18.7","char-offset:327","","","","","","","","","Reference","","",""
"9e67029c-79c5-4d4a-87d8-e087cfc454a8","Tite_entries_entry-29.0_julius-bxiii.txt","John Selden, 1638 (155.3: this, Tib. B-XIH, C.III,        Nero  DVIII, Vit. C.X, E.V, VII, Dom. I, V, Cleo. D.V or         Faust. C.IV).","char-offset:507","","","","","","","","","Loan|Uncertain","","",""
"02c85b85-e8af-4494-a808-5ee344eea836","Tite_entries_entry-29.0_julius-bxiii.txt","John Selden","char-offset:507","PERSON","","","","","","","","","","",""
"ba1f3b8e-c6dd-4dfe-af45-d5290a5d7f76","Tite_entries_entry-29.0_julius-bxiii.txt","1638","char-offset:520","","","","","","","","","Date","","",""
"a751e8f0-4c9d-4410-882e-702ee0d64381","Tite_entries_entry-29.0_julius-bxiii.txt","155.3","char-offset:526","","","","","","","","","Reference","","",""
"c9335e0b-0794-4aca-84bd-9280f6567aae","Tite_entries_entry-23.0_julius-bviii.txt","John  Selden","char-offset:122","PERSON","","","","","","","","","","",""
"0409ec76-459c-44f3-a044-b750041ebb5c","Tite_entries_entry-23.0_julius-bviii.txt","John  Selden (6018,  no. 301)","char-offset:122","","","","","","","","","Loan","","",""
"60b65ff3-9211-4cf9-ba2d-0ced502ce811","Tite_entries_entry-23.0_julius-bviii.txt","6018,  no. 301","char-offset:136","","","","","","","","","Reference","","",""
"33628642-53ed-4b30-8852-dfc5ecfab781","Tite_entries_entry-23.0_julius-bviii.txt","Selden, c.1638        (163.6)","char-offset:153","","","","","","","","","Loan","","",""
"b7a4c211-7aa0-4e5a-8825-a23400d94434","Tite_entries_entry-23.0_julius-bviii.txt","Selden","char-offset:153","PERSON","","","","","","","","","","",""
"9fde92f3-498d-4f2e-bbb8-f904509057c2","Tite_entries_entry-23.0_julius-bviii.txt","c.1638","char-offset:161","","","","","","","","","Date","","",""
"352aa771-e01b-4750-8000-19ba6ad6d0d6","Tite_entries_entry-23.0_julius-bviii.txt","163.6","char-offset:176","","","","","","","","","Reference","","",""
"46186ca0-caf3-47c3-9985-bd21a283ea0d","Tite_entries_entry-23.0_julius-bviii.txt","Simonds   D’Ewes","char-offset:184","PERSON","","","","","","","","","","",""
"2a93e485-715f-4ee6-a8c1-fe7359a9ac8a","Tite_entries_entry-23.0_julius-bviii.txt","Simonds   D’Ewes  (The Autobiography  and         Correspondence of Sir Simonds  D’Ewes, ed. by J.O.         Halliwell, 2 vols (London, 1845), I, p. 299, where         D’Ewes’s borrowing and transcription of B.VIII in 1626         is recorded)","char-offset:184","","","","","","","","","Loan","","",""
"ac8badf2-a88b-43cd-bd83-7c793c976f68","Tite_entries_entry-24.0_julius-bix.txt","Ralph Starkey, 1621-22 (2.111).","char-offset:528","","","","","","","","","Loan","","",""
"962d3436-6bfb-444f-a49f-3a66d52a570f","Tite_entries_entry-24.0_julius-bix.txt","Ralph Starkey","char-offset:528","PERSON","","","","","","","","","","",""
"9498e5d5-aa37-4a85-ba52-a6c6635b6b0d","Tite_entries_entry-24.0_julius-bix.txt","1621-22","char-offset:543","","","","","","","","","Date","","",""
"98c61df1-c579-4c8e-9aba-f837ee1398dd","Tite_entries_entry-24.0_julius-bix.txt","2.111","char-offset:552","","","","","","","","","Reference","","",""
