"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9df569ce-fb9b-4a0f-9bc2-11c661089f9e","Tite_entries_entry-1085.0_titus-bxi.txt","(? of part I, fols 2-28, artt. 1-27, fol. 45, art. 43)         James  Ley, 1611 (61.2)","char-offset:1271","","","","","","","","","Loan","","",""
"925b4dcb-db99-4894-a741-15dabb700399","Tite_entries_entry-1085.0_titus-bxi.txt","? of part I, fols 2-28, artt. 1-27, fol. 45, art. 43","char-offset:1272","","","","","","","","","Partial","","",""
"bd7d1883-bb8e-4194-ae4d-dcb9daa65f4c","Tite_entries_entry-1085.0_titus-bxi.txt","James  Ley","char-offset:1334","PERSON","","","","","","","","","","",""
"dd5b99f8-97c0-4973-bf6f-2f05f7a1b1ad","Tite_entries_entry-1085.0_titus-bxi.txt","1611","char-offset:1346","","","","","","","","","Date","","",""
"f1a5484e-44d4-496e-b4f1-082944a8af73","Tite_entries_entry-1085.0_titus-bxi.txt","(61.2)","char-offset:1351","","","","","","","","","List Reference","","",""
"173c23f5-f691-4de7-bd28-431d428dc214","Tite_entries_entry-1085.0_titus-bxi.txt","(of part II, fols 49-50, art. 94)         St Lo Kniveton, by 1615, by1617 (45.10, 111.30)","char-offset:1359","","","","","","","","","Loan","","",""
"1461c5b7-5a94-424a-9c12-fac2b3ff5a06","Tite_entries_entry-1085.0_titus-bxi.txt","of part II, fols 49-50, art. 94","char-offset:1360","","","","","","","","","Partial","","",""
"1f676e56-879c-491f-9c7e-74b469c32821","Tite_entries_entry-1085.0_titus-bxi.txt","St Lo Kniveton","char-offset:1401","PERSON","","","","","","","","","","",""
"1d6e9f60-bdbf-4eb9-8fa6-db4b1c47ac8e","Tite_entries_entry-1085.0_titus-bxi.txt","by 1615","char-offset:1417","","","","","","","","","Date","","",""
"318628ad-bac4-4a99-85f0-9b036bb7514a","Tite_entries_entry-1085.0_titus-bxi.txt","by1617","char-offset:1426","","","","","","","","","Date","","",""
