"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"f3b83407-4716-4351-8db4-cc2625ea03b2","Tite_entries_entry-1340.0_faustina-cii.txt","(of fols 27-28, art. 4, fols 79-84v, art. 18) Henry               Montagu,   after Christmas 1604  (129.10; see also Jul.               C.IH, fol. 264).","char-offset:280","","","","","","","","","Loan","","",""
"f7428d2f-c244-46d5-ab7e-5b1edfde3961","Tite_entries_entry-1340.0_faustina-cii.txt","of fols 27-28, art. 4, fols 79-84v, art. 18","char-offset:281","","","","","","","","","Partial","","",""
"6da8d6d1-aa82-4a00-8942-c6985950bc8b","Tite_entries_entry-1340.0_faustina-cii.txt","Henry               Montagu","char-offset:326","PERSON","","","","","","","","","","",""
"d7dc4a4c-1823-432c-b8e2-d7fb1216de01","Tite_entries_entry-1340.0_faustina-cii.txt","after Christmas 1604","char-offset:357","","","","","","","","","Date","","",""
"6750fe6f-81ec-47c9-800d-ab92c15fcaec","Tite_entries_entry-1340.0_faustina-cii.txt","129.10;","char-offset:380","","","","","","","","","List Reference","","",""
"63fad566-50b0-463c-aee4-fb2e5d93fa44","Tite_entries_entry-1341.0_faustina-ciii.txt","? Henry  Howard","char-offset:303","PERSON","","","","","","","","","","",""
"99ca659a-ed0d-42b3-864b-874c63b54d7e","Tite_entries_entry-1341.0_faustina-ciii.txt","? Henry  Howard, c.1614 (121.1).","char-offset:303","","","","","","","","","Loan","","",""
"ec91dae0-89d1-4008-8b2f-d1e2b8c8d657","Tite_entries_entry-1341.0_faustina-ciii.txt","c.1614","char-offset:320","","","","","","","","","Date","","",""
"d9dd78d4-4a75-4351-9c1a-57ee389d7979","Tite_entries_entry-1341.0_faustina-ciii.txt","121.1","char-offset:328","","","","","","","","","List Reference","","",""
"f03d1b3b-7e73-44c3-b3bc-9d04ed086665","Tite_entries_entry-1344.0_faustina-cv.txt","Arthur Agarde,","char-offset:639","PERSON","","","","","","","","","","",""
"ea4a17aa-9313-4d2d-be8d-f56951b29796","Tite_entries_entry-1344.0_faustina-cv.txt","Arthur Agarde, 1612-15 (71.33)","char-offset:639","","","","","","","","","Loan","","",""
"afd86aaa-0c76-4f9c-b480-2c7be862a473","Tite_entries_entry-1344.0_faustina-cv.txt","1612-15","char-offset:654","","","","","","","","","Date","","",""
"7af2d02f-e282-4cb5-b976-2f28a699a246","Tite_entries_entry-1344.0_faustina-cv.txt","71.33","char-offset:663","","","","","","","","","List Reference","","",""
"da68d1d6-c1c3-41c5-94ca-9b721c69d3d5","Tite_entries_entry-1342.0_faustina-civ.txt","John  Selden, 1638 (155.3: this, Jul. B-XIII, Tib.         B.XII, C.III, Nero D-VIII, Vit. CX, EV, VII, Dom. I, V         or Cleo. D.V).","char-offset:617","","","","","","","","","Loan","","",""
"52fcd616-ca5c-4bdb-a6ef-98a45ece547d","Tite_entries_entry-1342.0_faustina-civ.txt","John  Selden","char-offset:617","PERSON","","","","","","","","","","",""
"94433130-621e-4a66-9dd5-9ba31da4a518","Tite_entries_entry-1342.0_faustina-civ.txt","1638","char-offset:631","","","","","","","","","Date","","",""
"c74736a8-7986-4f22-862e-08a3eb1bdc58","Tite_entries_entry-1342.0_faustina-civ.txt","155.3","char-offset:637","","","","","","","","","List Reference","","",""
"40e3742d-c862-4c8f-96b3-f13da17bdab8","Tite_entries_entry-1342.0_faustina-civ.txt","this, Jul. B-XIII, Tib.         B.XII, C.III, Nero D-VIII, Vit. CX, EV, VII, Dom. I, V         or Cleo. D.V","char-offset:644","","","","","","","","","Uncertain Book","","",""
