"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6c636ab3-2369-4d1e-9cc0-78d1c0c660ee","Tite_entries_entry-291.0_caligula-eviii.txt","William Camden","char-offset:659","PERSON","","","","","","","","","","",""
"2a655fb1-5e91-4684-b901-d0e8e0feb7fc","Tite_entries_entry-291.0_caligula-eviii.txt","William Camden,   1612-16 (75.13: ? this)","char-offset:659","","","","","","","","","Loan","","",""
"489a2c8d-0654-4131-bfe9-209b554a6156","Tite_entries_entry-291.0_caligula-eviii.txt","1612-16","char-offset:677","","","","","","","","","Date","","",""
"bcd94b32-5bd3-4e85-810a-24b031066978","Tite_entries_entry-291.0_caligula-eviii.txt","75.13","char-offset:686","","","","","","","","","List Reference","","",""
"4e2f7c1e-5495-4cc6-a5e1-1fed3080dd66","Tite_entries_entry-291.0_caligula-eviii.txt","? this","char-offset:693","","","","","","","","","Uncertain Book","","",""
"1e590d4c-5ffd-40cf-a237-e5f5e98e9912","Tite_entries_entry-291.0_caligula-eviii.txt","Thomas             Wilson","char-offset:702","PERSON","","","","","","","","","","",""
"c3b621b6-fbc0-4ac1-84f3-7f507a94f5f6","Tite_entries_entry-291.0_caligula-eviii.txt","Thomas             Wilson, c.1613 (35.1: ? parts of this, Calig. E.[X and X)","char-offset:702","","","","","","","","","Loan","","",""
"a99c6f52-797a-47f5-8b66-1dee3ba3b00d","Tite_entries_entry-291.0_caligula-eviii.txt","c.1613","char-offset:729","","","","","","","","","Date","","",""
"294688dd-80ba-43c4-a21b-81624250ec66","Tite_entries_entry-291.0_caligula-eviii.txt","35.1","char-offset:737","","","","","","","","","List Reference","","",""
"d7595184-af90-4051-9795-b861642e4192","Tite_entries_entry-291.0_caligula-eviii.txt","? parts of this, Calig. E.[X and X","char-offset:743","","","","","","","","","Uncertain Book|Partial","","",""
"f1bebb45-57d3-4473-8ade-c4f8eda59149","Tite_entries_entry-292.0_caligula-eix.txt","Thomas  Wilson","char-offset:302","PERSON","","","","","","","","","","",""
"dd0340f0-d15a-490e-b07f-9f6fa9d68040","Tite_entries_entry-292.0_caligula-eix.txt","Thomas  Wilson, c.1613 (35.1: ? parts of this, Calig.             EVIII and X).","char-offset:302","","","","","","","","","Loan","","",""
"e01abd88-f7ce-4f1c-9016-2be9db60bc82","Tite_entries_entry-292.0_caligula-eix.txt","c.1613","char-offset:318","","","","","","","","","Date","","",""
"70406774-f99f-435f-94ee-d3d356f93392","Tite_entries_entry-292.0_caligula-eix.txt","35.1","char-offset:326","","","","","","","","","List Reference","","",""
"8b233f66-7934-416a-9623-bdbad007eab3","Tite_entries_entry-292.0_caligula-eix.txt","? parts of this, Calig.             EVIII and X","char-offset:332","","","","","","","","","Partial|Uncertain Book","","",""
"6997fec4-10fd-4866-aebc-539b5c6b6bb0","Tite_entries_entry-295.0_caligula-ex.txt","William Camden","char-offset:605","PERSON","","","","","","","","","","",""
"2fb07577-5a17-4df2-9102-c1dc02966c50","Tite_entries_entry-295.0_caligula-ex.txt","William Camden,   1612-16 (75.13: ? parts of this,       Calig. E.XI and XII)","char-offset:605","","","","","","","","","Loan","","",""
"b7ab40de-614f-4e39-bafc-7adeb6344533","Tite_entries_entry-295.0_caligula-ex.txt","1612-16","char-offset:623","","","","","","","","","Date","","",""
"5d86945d-2dad-4988-9ab9-d72155f5c4f8","Tite_entries_entry-295.0_caligula-ex.txt","75.13","char-offset:632","","","","","","","","","List Reference","","",""
"e8452ced-4ff6-4519-83d2-10e1ada73445","Tite_entries_entry-295.0_caligula-ex.txt","? parts of this,       Calig. E.XI and XII","char-offset:639","","","","","","","","","Partial","","",""
