"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ca9e092a-af44-45d5-9967-2cee43cdf57b","Tite_entries_entry-602.0_otho-axvii.txt","John Lambe","char-offset:171","PERSON","","","","","","","","","","",""
"b167454c-a853-477e-b5e9-b43eaaf24d49","Tite_entries_entry-602.0_otho-axvii.txt","John Lambe, ? by 1612 (26.2: this, Vesp. A-XXIV,               Cleo. C.l, II or Faust. B.III);","char-offset:171","","","","","","","","","Loan","","",""
"5af32eca-4ae6-438f-baa6-979cb12069d8","Tite_entries_entry-602.0_otho-axvii.txt","? by 1612","char-offset:183","","","","","","","","","Date","","",""
"ae9bd947-9d8e-4238-8469-a0fa4f98e636","Tite_entries_entry-602.0_otho-axvii.txt","26.2","char-offset:194","","","","","","","","","List Reference","","",""
"b28fc2e9-b45b-4a6a-b4af-e8bd18b87e8e","Tite_entries_entry-602.0_otho-axvii.txt","this, Vesp. A-XXIV,               Cleo. C.l, II or Faust. B.III","char-offset:200","","","","","","","","","Uncertain Book","","",""
"031d460c-c7c1-49df-88f8-892664c2bd2b","Tite_entries_entry-602.0_otho-axvii.txt","Arthur Agarde, 1612               (77.13: this or Faust. B.II1)","char-offset:266","","","","","","","","","Loan","","",""
"9422cb62-93ed-48b5-a2a3-2b7752e13e3e","Tite_entries_entry-602.0_otho-axvii.txt","Arthur Agarde","char-offset:266","PERSON","","","","","","","","","","",""
"968ae151-9ced-4612-920f-2b86c2671308","Tite_entries_entry-602.0_otho-axvii.txt","1612","char-offset:281","","","","","","","","","Date","","",""
"0a028ae4-0160-401a-9a2a-1653626c6958","Tite_entries_entry-602.0_otho-axvii.txt","77.13","char-offset:301","","","","","","","","","List Reference","","",""
"8752abf2-bd10-4029-a20d-f71169fd0c87","Tite_entries_entry-602.0_otho-axvii.txt","this or Faust. B.II1","char-offset:308","","","","","","","","","Uncertain Book","","",""
"422fd86c-8a29-4c59-82f5-6c706fd430e5","Tite_entries_entry-602.0_otho-axvii.txt","Agarde","char-offset:331","PERSON","","","","","","","","","Arthur Agarde
","",""
"60c1e86c-79b5-4c6f-804e-cc0d79919ae4","Tite_entries_entry-602.0_otho-axvii.txt","Agarde, 1612-15 (71.15: ?               this);","char-offset:331","","","","","","","","","Loan|Uncertain Book","","",""
"eb5e9b24-2f89-4c24-bc58-5cd5c53304a3","Tite_entries_entry-602.0_otho-axvii.txt","1612-15","char-offset:339","","","","","","","","","Date","","",""
"75830782-6597-4f7c-b127-58ac830bb86a","Tite_entries_entry-602.0_otho-axvii.txt","71.15","char-offset:348","","","","","","","","","List Reference","","",""
"30698f99-eabe-4154-855e-dc1b98128e99","Tite_entries_entry-602.0_otho-axvii.txt","John Bernard","char-offset:378","PERSON","","","","","","","","","","",""
"68d90e02-fa87-4590-b1cc-ea89ed67c738","Tite_entries_entry-602.0_otho-axvii.txt","John Bernard, 1658 (233.2).","char-offset:378","","","","","","","","","Loan","","",""
"e50be76b-84b9-4d5e-835a-3881cdc80243","Tite_entries_entry-602.0_otho-axvii.txt","1658","char-offset:392","","","","","","","","","Date","","",""
