"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e0edfc50-01e5-4269-a325-f07010f08594","Tite_entries_entry-499.0_galba-bi.txt","John  Selden, 1621 (2.87: ? distributed in Galba                   B.I-XID);","char-offset:244","","","","","","","","","Loan","","",""
"88df7e1d-ba7c-441a-af87-c7d1db4f8d6c","Tite_entries_entry-499.0_galba-bi.txt","John  Selden","char-offset:244","PERSON","","","","","","","","","","",""
"00eea611-fc1e-4eab-9fb7-6a44dfd26b36","Tite_entries_entry-499.0_galba-bi.txt","1621","char-offset:258","","","","","","","","","Date","","",""
"48cdf1b2-4b86-4cb7-8214-2389db9ebc0d","Tite_entries_entry-499.0_galba-bi.txt","2.87","char-offset:264","","","","","","","","","List Reference","","",""
"e1299510-72c5-47a2-b670-2b753c89f166","Tite_entries_entry-499.0_galba-bi.txt","Bulstrode Whitelocke","char-offset:321","PERSON","","","","","","","","","","",""
"8fa066d0-7dd9-40f8-81fb-9846be5c144f","Tite_entries_entry-499.0_galba-bi.txt","Bulstrode Whitelocke, 1652  (231.1: ? this,                   described there as a bundle).","char-offset:321","","","","","","","","","Loan","","",""
"2f399615-be7a-4403-9a5b-33067cc26e9a","Tite_entries_entry-499.0_galba-bi.txt","1652","char-offset:343","","","","","","","","","Date","","",""
"91b28781-3d65-4969-832c-637958e2db3e","Tite_entries_entry-499.0_galba-bi.txt","231.1","char-offset:350","","","","","","","","","List Reference","","",""
"d7c1f811-f66e-4a10-aea6-830a8be090bf","Tite_entries_entry-510.0_galba-bx.txt","John  Selden, 1621 (2.87: ? distributed in Galba               B.I-XI1);","char-offset:230","","","","","","","","","Loan","","",""
"30a50e46-1b2b-44d0-9cd7-81267d54d5ea","Tite_entries_entry-510.0_galba-bx.txt","John  Selden,","char-offset:230","PERSON","","","","","","","","","","",""
"7aacce31-da4b-4eaa-b267-2605239e9323","Tite_entries_entry-510.0_galba-bx.txt","1621","char-offset:244","","","","","","","","","Date","","",""
"6516b2aa-e4d2-4ec3-b257-d95cf0272aed","Tite_entries_entry-510.0_galba-bx.txt","2.87","char-offset:250","","","","","","","","","List Reference","","",""
"213ba41c-df46-4f4f-9064-79b43f0adda9","Tite_entries_entry-510.0_galba-bx.txt","Bulstrode Whitelocke","char-offset:303","PERSON","","","","","","","","","","",""
"88c9198c-fcef-4848-895a-141b0f2a3857","Tite_entries_entry-510.0_galba-bx.txt","Bulstrode Whitelocke, 1652 (231.9).","char-offset:303","","","","","","","","","Loan","","",""
"2519b74c-3561-4644-aa63-a62e0b29b006","Tite_entries_entry-510.0_galba-bx.txt","1652","char-offset:325","","","","","","","","","Date","","",""
"368e264a-8c9e-44f6-b9e2-69c33da8694d","Tite_entries_entry-510.0_galba-bx.txt","231.9","char-offset:331","","","","","","","","","List Reference","","",""
"d3cfbb34-b5fe-4eb6-b97c-b820733f275b","Tite_entries_entry-511.0_galba-bxi.txt","John  Selden, 1621 (2.87: ? distributed in Galba B.I-               XII).","char-offset:290","","","","","","","","","Loan","","",""
"e766dc97-ef68-498d-b5b6-f4a3e97bbbb5","Tite_entries_entry-511.0_galba-bxi.txt","John  Selden,","char-offset:290","PERSON","","","","","","","","","","",""
"37f9a29e-6a5d-4601-9a39-9d564a541528","Tite_entries_entry-511.0_galba-bxi.txt","1621","char-offset:304","","","","","","","","","Date","","",""
"28953955-4987-432b-a7d0-73279ebf76ab","Tite_entries_entry-511.0_galba-bxi.txt","2.87","char-offset:310","","","","","","","","","List Reference","","",""
