"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"99ece99f-f2b5-4e05-ae59-8de0cacbe418","Tite_entries_entry-166.0_tiberius-bx.txt","Selden, ¢.1638 (163.3: (1) this, Calig. A.IV, Vit.           F.XVIII  or XIX,  or (2) Tib. A.I or Vit. A.IV)","char-offset:260","","","","","","","","","Loan","","",""
"71fd0705-ae27-4fd8-9edb-12f8b2be4204","Tite_entries_entry-166.0_tiberius-bx.txt","Selden","char-offset:260","PERSON","","","","","","","","","","",""
"136bfe05-523f-46d0-92dd-5fd126f272d9","Tite_entries_entry-166.0_tiberius-bx.txt","¢.1638","char-offset:268","","","","","","","","","Date","","",""
"1a6be6c6-5d4c-40e0-8631-b8f6d1292312","Tite_entries_entry-166.0_tiberius-bx.txt","163.3","char-offset:276","","","","","","","","","List Reference","","",""
"4cd35589-81d1-4afc-81c5-9f100c5bdf23","Tite_entries_entry-166.0_tiberius-bx.txt","(1) this, Calig. A.IV, Vit.           F.XVIII  or XIX,  or (2) Tib. A.I or Vit. A.IV","char-offset:283","","","","","","","","","Uncertain Book","","",""
"45f3a1ec-dc77-4ece-bdef-b85f359b9022","Tite_entries_entry-161.0_tiberius-bvii.txt","John Barkham,  1621 (2.76: ? this + CUL, Add. MS        3578, or Tib. A.TX).","char-offset:181","","","","","","","","","Loan","","",""
"2625197a-abd4-4f06-9e6c-4b27f5ce8f8e","Tite_entries_entry-161.0_tiberius-bvii.txt","John Barkham","char-offset:181","PERSON","","","","","","","","","","",""
"bde7b1d9-97c7-4e4c-a76a-c4ec65ec5df2","Tite_entries_entry-161.0_tiberius-bvii.txt","1621","char-offset:196","","","","","","","","","Date","","",""
"e333d597-762a-40bb-90b9-788a69c552be","Tite_entries_entry-161.0_tiberius-bvii.txt","2.76","char-offset:202","","","","","","","","","List Reference","","",""
"c883ef27-9326-4186-8c42-0e1ca73abcdd","Tite_entries_entry-161.0_tiberius-bvii.txt","? this + CUL, Add. MS        3578, or Tib. A.TX","char-offset:208","","","","","","","","","Uncertain Book","","",""
"8e2559b9-be04-4dd4-9511-1ff2980ebcd7","Tite_entries_entry-169.0_tiberius-bxiii.txt","Henry  Bourchier, 1621 (2.82)","char-offset:516","","","","","","","","","Loan","","",""
"81db5e5f-78ec-4a94-835a-58602fcfedd4","Tite_entries_entry-169.0_tiberius-bxiii.txt","Henry  Bourchier","char-offset:516","PERSON","","","","","","","","","","",""
"1373b75b-f3bf-4803-abc9-254151897864","Tite_entries_entry-169.0_tiberius-bxiii.txt","1621","char-offset:534","","","","","","","","","Date","","",""
"72e3aba2-df54-4dc3-9d6c-bb5e96f56fc4","Tite_entries_entry-169.0_tiberius-bxiii.txt","2.82","char-offset:540","","","","","","","","","List Reference","","",""
"5d7bc46c-ee3d-4814-9281-92bf03ba7fcd","Tite_entries_entry-169.0_tiberius-bxiii.txt","John Selden, 1638           (155.3: this, Jul. BXIII, Tib. C.III, Nero D.VIII, Vit.           C.X, EV, VII, Dom. I, V, Cleo. D.V or Faust. C.IV).","char-offset:547","","","","","","","","","Loan","","",""
"e97737da-94ca-43df-825d-ca7a6f6125f7","Tite_entries_entry-169.0_tiberius-bxiii.txt","John Selden","char-offset:547","PERSON","","","","","","","","","","",""
"e435b601-2335-494f-9f9b-5cdfd2587801","Tite_entries_entry-169.0_tiberius-bxiii.txt","1638","char-offset:560","","","","","","","","","Date","","",""
"0b602bff-a580-477c-a15a-dd8d6e43e92a","Tite_entries_entry-169.0_tiberius-bxiii.txt","155.3","char-offset:576","","","","","","","","","List Reference","","",""
"182a1344-d860-424a-a790-f725fbbe793a","Tite_entries_entry-169.0_tiberius-bxiii.txt","this, Jul. BXIII, Tib. C.III, Nero D.VIII, Vit.           C.X, EV, VII, Dom. I, V, Cleo. D.V or Faust. C.IV","char-offset:583","","","","","","","","","Uncertain Book","","",""
"86368b33-7711-4406-ac4d-001fa207ff59","Tite_entries_entry-156.0_tiberius-biv.txt","(of at least fols 3-86, 88-90, art. 1, first part of art. 2, art. 3)","char-offset:458","","","","","","","","","Partial","","",""
"e7b43456-7c90-4d40-a6ec-e3ef19d8aea2","Tite_entries_entry-156.0_tiberius-biv.txt","(of at least fols 3-86, 88-90, art. 1, first part of art. 2, art. 3) Francis Tate, by 1612 (22.5)","char-offset:458","","","","","","","","","Loan","","",""
"59eeffa0-8aae-462c-842c-f18c589ff173","Tite_entries_entry-156.0_tiberius-biv.txt","Francis Tate","char-offset:528","PERSON","","","","","","","","","","",""
"24b82d66-db11-48e3-9a31-b560a3c5fb63","Tite_entries_entry-156.0_tiberius-biv.txt","by 1612","char-offset:542","","","","","","","","","Date","","",""
"1de1ebb2-abd7-4747-bc77-f32a220b7267","Tite_entries_entry-156.0_tiberius-biv.txt","(22.5","char-offset:550","","","","","","","","","List Reference","","",""
"a61a2b0e-125d-4563-87e4-c8785ccc5b1e","Tite_entries_entry-156.0_tiberius-biv.txt","Humfrey Wanley,                   1709 (Add. MS 44879,  fol. iv; Wanley had to provide a                   bond of £100  for the loan of this, Tib. B.I and Otho                   B.XI).","char-offset:558","","","","","","","","","Loan","","",""
"7699437e-cdcc-47ec-9b34-a278ae1092db","Tite_entries_entry-156.0_tiberius-biv.txt","Humfrey Wanley","char-offset:558","PERSON","","","","","","","","","","",""
"8f3841f3-695a-47b0-9f79-71c2f2b4ae3d","Tite_entries_entry-156.0_tiberius-biv.txt","1709","char-offset:592","","","","","","","","","Date","","",""
"a473179b-60a9-4a79-aeec-486dfdb7f68c","Tite_entries_entry-156.0_tiberius-biv.txt","Add. MS 44879,  fol. iv","char-offset:598","","","","","","","","","List Reference","","",""
"86d70cbb-469c-46e5-9fc5-8525cb6db976","Tite_entries_entry-152.0_tiberius-b1.txt","James  Ussher, 1652 (230.1);","char-offset:1123","","","","","","","","","Loan","","",""
"9c9e2ee4-e1ef-4e81-b672-a14a2d760c5a","Tite_entries_entry-152.0_tiberius-b1.txt","James  Ussher","char-offset:1123","PERSON","","","","","","","","","","",""
"ead97111-787f-4ccb-97d7-c037f3ace525","Tite_entries_entry-152.0_tiberius-b1.txt","1652","char-offset:1138","","","","","","","","","Date","","",""
"60326283-7bf3-44e6-9a1b-b00756c8c32f","Tite_entries_entry-152.0_tiberius-b1.txt","230.1","char-offset:1144","","","","","","","","","List Reference","","",""
"2b7ec9c7-16ae-4aa4-b6b7-cbd523801f91","Tite_entries_entry-152.0_tiberius-b1.txt","Gerard Langbaine","char-offset:1152","PERSON","","","","","","","","","","",""
"e5099231-c614-4c92-be3b-414e96f715b7","Tite_entries_entry-152.0_tiberius-b1.txt","Gerard Langbaine,     via William Dugdale, 1655 (258.1);","char-offset:1152","","","","","","","","","Loan","","",""
"4947a0fd-a937-4df2-aef0-ab53ba8da3c6","Tite_entries_entry-152.0_tiberius-b1.txt","William Dugdale","char-offset:1178","PERSON","","","","","","","","Agent","","",""
"6af0fd83-1f1f-4189-8961-f2888c921978","Tite_entries_entry-152.0_tiberius-b1.txt","1655","char-offset:1195","","","","","","","","","Date","","",""
"506632a3-3d96-4adb-bf76-c2235af86eae","Tite_entries_entry-152.0_tiberius-b1.txt","258.1","char-offset:1201","","","","","","","","","List Reference","","",""
"a0dece3f-738f-4fff-8fe1-11b0acb22ad3","Tite_entries_entry-152.0_tiberius-b1.txt","Francis Junius","char-offset:1209","PERSON","","","","","","","","","","",""
"b996afaf-ef62-403c-9e73-49e21840fc37","Tite_entries_entry-152.0_tiberius-b1.txt","Francis Junius, 1658     (234.1)","char-offset:1209","","","","","","","","","Loan","","",""
"438040b0-e83b-4953-89ab-a876a1d3d705","Tite_entries_entry-152.0_tiberius-b1.txt","1658","char-offset:1225","","","","","","","","","Date","","",""
"f6d4fec7-26b8-4573-832f-78331d1ac40a","Tite_entries_entry-152.0_tiberius-b1.txt","234.1","char-offset:1235","","","","","","","","","List Reference","","",""
"543b7543-2d96-4c95-87bd-403c685c97a4","Tite_entries_entry-152.0_tiberius-b1.txt","Humfrey Wanley, 1709 (Add. MS 44879, fol. iv;     Wanley  had to provide a bond of £100 for the loan of     this, Tib. B.TV and Otho B.XI).","char-offset:1243","","","","","","","","","Loan","","",""
"dff045be-776d-4a88-af38-7f02410a4c4a","Tite_entries_entry-152.0_tiberius-b1.txt","Humfrey Wanley","char-offset:1243","PERSON","","","","","","","","","","",""
"a6f49d40-3f32-4f5d-8e0c-d331cc43dd94","Tite_entries_entry-152.0_tiberius-b1.txt","1709","char-offset:1259","","","","","","","","","Date","","",""
"846f179b-8cbb-4dc7-b386-bd686f5319fe","Tite_entries_entry-152.0_tiberius-b1.txt","Add. MS 44879, fol. iv","char-offset:1265","","","","","","","","","List Reference","","",""
"0864ab0b-6a7d-41f7-9a88-8b0e1a3e7ced","Tite_entries_entry-158.0_tiberius-bv.txt","John Selden, 1639 (186.2).","char-offset:555","","","","","","","","","Loan","","",""
"f86764fc-f907-4ac0-9dfb-4a74d4a3a915","Tite_entries_entry-158.0_tiberius-bv.txt","John Selden","char-offset:555","PERSON","","","","","","","","","","",""
"29e088df-e440-4b24-bc9f-7931e9485f88","Tite_entries_entry-158.0_tiberius-bv.txt","1639","char-offset:568","","","","","","","","","Date","","",""
"8ea6d4e7-87d9-4c66-a31f-ccddced8c496","Tite_entries_entry-158.0_tiberius-bv.txt","186.2","char-offset:574","","","","","","","","","List Reference","","",""
