"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e74f5a2c-585c-4cf3-98b3-88ab9d88059e","Tite_entries_entry-1319.0_faustina-bi.txt","Richard  Bancroft","char-offset:501","PERSON","","","","","","","","","","",""
"e66c4c19-01dc-4f16-8d62-454007693cad","Tite_entries_entry-1319.0_faustina-bi.txt","Richard  Bancroft, 1608, by hand  of John  Pory         (29.10: this, Claud. B.II, Vit. E.XI, Vesp. FXII or Tit.         D.XI).","char-offset:501","","","","","","","","","Loan","","",""
"b57120b9-0706-4c58-8860-f2b2ef3f2c2b","Tite_entries_entry-1319.0_faustina-bi.txt","1608","char-offset:520","","","","","","","","","Date","","",""
"721a3878-d011-4e3f-a8b1-2b7895a7f624","Tite_entries_entry-1319.0_faustina-bi.txt","John  Pory","char-offset:538","PERSON","","","","","","","","Agent","","",""
"bd999c93-4212-4dd7-b779-0745eee416bd","Tite_entries_entry-1319.0_faustina-bi.txt","29.10","char-offset:558","","","","","","","","","List Reference","","",""
"0d67347e-d7bb-44fc-8fe7-0b0e770ccff4","Tite_entries_entry-1319.0_faustina-bi.txt","this, Claud. B.II, Vit. E.XI, Vesp. FXII or Tit.         D.XI","char-offset:565","","","","","","","","","Uncertain Book","","",""
"c4560c8c-0b73-4f5d-ac5a-c2cbbd3cb328","Tite_entries_entry-1321.0_faustina-bii.txt","Arthur  Agarde,  1612-15 (18.13, 71.16, 77.15);","char-offset:497","","","","","","","","","Loan","","",""
"b1eb7165-f4c7-405a-94e5-2d216b76c70b","Tite_entries_entry-1321.0_faustina-bii.txt","Arthur  Agarde","char-offset:497","PERSON","","","","","","","","","","",""
"b1314085-a475-41fa-9b0b-e303eb826ad9","Tite_entries_entry-1321.0_faustina-bii.txt","1612-15","char-offset:514","","","","","","","","","Date","","",""
"18b1386a-8c10-4cf7-bf5b-f4cf48892a08","Tite_entries_entry-1321.0_faustina-bii.txt","18.13, 71.16, 77.15","char-offset:523","","","","","","","","","List Reference","","",""
"48c5e8e5-af5f-4a55-9179-787a6c94fdfe","Tite_entries_entry-1321.0_faustina-bii.txt","Spencer Compton,   1639  (164.1)","char-offset:553","","","","","","","","","Loan","","",""
"5f50ee6a-fed3-4f9d-bdb2-46c92e2caa85","Tite_entries_entry-1321.0_faustina-bii.txt","Spencer Compton","char-offset:553","PERSON","","","","","","","","","","",""
"50a7dc45-94ff-4a65-bf49-7dc15c5abf07","Tite_entries_entry-1321.0_faustina-bii.txt","1639","char-offset:572","","","","","","","","","Date","","",""
"7f2fb037-bd53-48a8-84c9-3e013360dd17","Tite_entries_entry-1321.0_faustina-bii.txt","164.1","char-offset:579","","","","","","","","","List Reference","","",""
"38db7773-fcb0-4432-b8bf-5b4a2af496f1","Tite_entries_entry-1321.0_faustina-bii.txt","Compton, ?  1640         (168).","char-offset:587","","","","","","","","","Loan","","",""
"1d37b612-d1a9-4321-a2f4-88d430d6a4c5","Tite_entries_entry-1321.0_faustina-bii.txt","Compton","char-offset:587","PERSON","","","","","","","","","Spencer Compton","",""
"c4aa8b10-f181-43e7-b6c4-ad5f24e162d4","Tite_entries_entry-1321.0_faustina-bii.txt","?  1640","char-offset:596","","","","","","","","","Date","","",""
"dd81aaf6-970a-45ed-b7cc-27584341af7f","Tite_entries_entry-1321.0_faustina-bii.txt","168","char-offset:613","","","","","","","","","List Reference","","",""
"79826ecd-a539-44e8-b7a0-414d90dc60b6","Tite_entries_entry-1329.0_faustina-bv.txt","Arthur Agarde","char-offset:531","PERSON","","","","","","","","","","",""
"5ebb021a-12e7-4447-bf27-06fb6e393bac","Tite_entries_entry-1329.0_faustina-bv.txt","Arthur Agarde, 1612-15 (18.4, 71.13, 77.7).","char-offset:531","","","","","","","","","Loan","","",""
"3bec03db-3f17-4788-8ba9-f529a2f90c7b","Tite_entries_entry-1329.0_faustina-bv.txt","1612-15","char-offset:546","","","","","","","","","Date","","",""
"66d36274-daf1-4b22-b50e-9ed435d595ce","Tite_entries_entry-1329.0_faustina-bv.txt","18.4, 71.13, 77.7","char-offset:555","","","","","","","","","List Reference","","",""
"6e009fb5-aefa-4227-8a03-e21c11fc0c61","Tite_entries_entry-1326.0_faustina-biii.txt","John Lambe,  ? by 1612 (26.2: this, Otho A.XVII,            Vesp. A-XXIV,  Cleo. C.I or II)","char-offset:629","","","","","","","","","Loan","","",""
"003361f2-3f1f-4310-801f-7c03bcfb00e2","Tite_entries_entry-1326.0_faustina-biii.txt","John Lambe","char-offset:629","PERSON","","","","","","","","","","",""
"611bc7b0-5469-463e-90c0-3216e57298c8","Tite_entries_entry-1326.0_faustina-biii.txt","by 1612","char-offset:644","","","","","","","","","Date","","",""
"ee863102-5cac-4c3b-a8fa-9342cb4ee700","Tite_entries_entry-1326.0_faustina-biii.txt","26.2","char-offset:653","","","","","","","","","List Reference","","",""
"7035b820-bd11-4974-8bba-231fa9f00de5","Tite_entries_entry-1326.0_faustina-biii.txt","this, Otho A.XVII,            Vesp. A-XXIV,  Cleo. C.I or II","char-offset:659","","","","","","","","","Uncertain Book","","",""
"b4152479-6ed5-4982-b91f-72a8114161aa","Tite_entries_entry-1326.0_faustina-biii.txt","Arthur Agarde","char-offset:722","PERSON","","","","","","","","","","",""
"b0d571d8-fc21-4c1e-8964-202af0a9cd1e","Tite_entries_entry-1326.0_faustina-biii.txt","Arthur Agarde, 1612            (77.13: this or Otho A-XVID)","char-offset:722","","","","","","","","","Loan","","",""
"de707c57-c06e-492a-98ef-16a08b3c7d29","Tite_entries_entry-1326.0_faustina-biii.txt","1612","char-offset:737","","","","","","","","","Date","","",""
"c339d180-9e56-431f-b97b-45b7a625c63f","Tite_entries_entry-1326.0_faustina-biii.txt","77.13","char-offset:754","","","","","","","","","List Reference","","",""
"1212fbfd-13a0-4852-aa17-c1c2a9921fb3","Tite_entries_entry-1326.0_faustina-biii.txt","this or Otho A-XVID","char-offset:761","","","","","","","","","Uncertain Book","","",""
"add31598-c80a-4f21-ab7c-66cc954a81f1","Tite_entries_entry-1326.0_faustina-biii.txt","Agarde, 1612-15 (71.18)","char-offset:783","","","","","","","","","Loan","","",""
"682b2b9f-c3b3-4807-acaf-8cdc89de503c","Tite_entries_entry-1326.0_faustina-biii.txt","Agarde","char-offset:783","PERSON","","","","","","","","","Arthur","",""
"1c47645e-1a79-4246-b9c1-fee57a71a9e1","Tite_entries_entry-1326.0_faustina-biii.txt","1612-15","char-offset:791","","","","","","","","","Date","","",""
"ea9f6c3b-8b6a-42ff-b607-ec67ce8d89e3","Tite_entries_entry-1326.0_faustina-biii.txt","71.18","char-offset:800","","","","","","","","","List Reference","","",""
"9672bc93-4d76-40af-9abd-fa5a87a56c77","Tite_entries_entry-1326.0_faustina-biii.txt","John Bernard","char-offset:819","PERSON","","","","","","","","","","",""
"d67df026-d021-44e1-8dc6-e489e4f41bd0","Tite_entries_entry-1326.0_faustina-biii.txt","John Bernard, 1658 (233.1).","char-offset:819","","","","","","","","","Loan","","",""
"ccd01ebe-a9b2-47f5-8a04-a4990f5664b6","Tite_entries_entry-1326.0_faustina-biii.txt","1658","char-offset:833","","","","","","","","","Date","","",""
"93f420a9-8a51-4b1f-abde-b68a158b837d","Tite_entries_entry-1326.0_faustina-biii.txt","(233.1","char-offset:838","","","","","","","","","List Reference","","",""
"6c3fc806-ed32-45bd-af97-bd2fa32e111b","Tite_entries_entry-1335.0_faustina-bix.txt","Patrick Young, 1621","char-offset:1952","","","","","","","","","Loan","","",""
"980cb256-8f51-4036-bd92-864b352ebb28","Tite_entries_entry-1335.0_faustina-bix.txt","Patrick Young","char-offset:1952","PERSON","","","","","","","","","","",""
"82ee577d-b5ea-48f8-817e-d53e5e73768f","Tite_entries_entry-1335.0_faustina-bix.txt","1621","char-offset:1967","","","","","","","","","Date","","",""
"2ad19b5d-de4c-4420-8719-77ab598599f5","Tite_entries_entry-1335.0_faustina-bix.txt","Henry Montagu, 1621 (2.30);","char-offset:1973","","","","","","","","","Loan","","",""
"3a463d7d-6fa0-467a-b959-e43eb3f87c04","Tite_entries_entry-1335.0_faustina-bix.txt","Henry Montagu,","char-offset:1973","PERSON","","","","","","","","","","",""
"3c062848-d162-46c8-a356-b1894573b201","Tite_entries_entry-1335.0_faustina-bix.txt","1621","char-offset:1988","","","","","","","","","Date","","",""
"cad63677-bb3e-4087-b9ca-a0a2f74907c8","Tite_entries_entry-1335.0_faustina-bix.txt","2.30","char-offset:1994","","","","","","","","","List Reference","","",""
"979d02f0-ee4e-43bd-a668-fc0426e9e2ae","Tite_entries_entry-1335.0_faustina-bix.txt","John Selden","char-offset:2008","PERSON","","","","","","","","","","",""
"043ab574-f24b-4ec9-ade5-547c8456e701","Tite_entries_entry-1335.0_faustina-bix.txt","John Selden, c.1638 (163.10).","char-offset:2008","","","","","","","","","Loan","","",""
"a999059b-4cfc-478c-9544-3052dc8ed201","Tite_entries_entry-1335.0_faustina-bix.txt","c.1638","char-offset:2021","","","","","","","","","Date","","",""
"81544303-cdb4-4047-9785-08510302b143","Tite_entries_entry-1335.0_faustina-bix.txt","163.10","char-offset:2029","","","","","","","","","List Reference","","",""
"a32aaf45-5d23-44fd-85c1-cc423ac95fe0","Tite_entries_entry-1327.0_faustina-biv.txt","William Camden","char-offset:306","PERSON","","","","","","","","","","",""
"6d57ef7a-f420-459f-a473-b401829e827d","Tite_entries_entry-1327.0_faustina-biv.txt","William Camden,   1606  (10.4: ? this, and see            below)","char-offset:306","","","","","","","","","Loan","","",""
"145ad5f1-25ae-42fc-a6dc-3ef2e823bc96","Tite_entries_entry-1327.0_faustina-biv.txt","1606","char-offset:324","","","","","","","","","Date","","",""
"e28d6dcf-8331-45d5-a31e-b1434dd12a3c","Tite_entries_entry-1327.0_faustina-biv.txt","10.4","char-offset:331","","","","","","","","","List Reference","","",""
"d63406b5-13e9-40cd-9bba-82a44093e8b1","Tite_entries_entry-1327.0_faustina-biv.txt","? this, and see            below","char-offset:337","","","","","","","","","Uncertain Book","","",""
"63af8405-aa30-4c43-bb6f-d7cb16ca3b00","Tite_entries_entry-1327.0_faustina-biv.txt","James  Ussher","char-offset:372","PERSON","","","","","","","","Uncertain Person","","",""
"6c4cf47a-af25-4935-995a-69a8b46b0dc2","Tite_entries_entry-1327.0_faustina-biv.txt","James  Ussher  (or William  Laud  or George            Abbot), ? ¢.1634 (135.1: (1) this or Jul. D.III, or (2)            Claud. E.IV or Nero C.VID)","char-offset:372","","","","","","","","","Loan","","",""
"7d85a1d5-7ec2-4a51-92f8-77f2416a5a9e","Tite_entries_entry-1327.0_faustina-biv.txt","William  Laud","char-offset:391","PERSON","","","","","","","","Uncertain Person","","",""
