"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5c7a2184-0790-4f88-a917-2f10f1280426","Tite_entries_entry-1245.0_cleopatra-bv.txt","John Williams","char-offset:402","PERSON","","","","","","","","","","",""
"dafc0487-d1e3-4dcc-859a-a454110038ba","Tite_entries_entry-1245.0_cleopatra-bv.txt","John Williams, c.1610-12 (39.1)","char-offset:402","","","","","","","","","Loan","","",""
"62e9f517-b828-4256-9056-90466064c52f","Tite_entries_entry-1245.0_cleopatra-bv.txt","c.1610-12","char-offset:417","","","","","","","","","Date","","",""
"57a291dd-2e53-4d86-996d-f31f96fc8a17","Tite_entries_entry-1245.0_cleopatra-bv.txt","39.1","char-offset:428","","","","","","","","","List Reference","","",""
"2336aa22-6c99-4e5f-a1d3-8914f3decd06","Tite_entries_entry-1245.0_cleopatra-bv.txt","Edward Herbert","char-offset:435","PERSON","","","","","","","","","","",""
"ee07b76d-5751-4ac9-89c6-3dd77b850acb","Tite_entries_entry-1245.0_cleopatra-bv.txt","Edward Herbert,        1636 (119.10: this or Calig. A.III, Tit. D.II, IX or Cleo.        A-XIV.)","char-offset:435","","","","","","","","","Loan","","",""
"e8275081-7ffd-4015-bc09-6629030e1b4e","Tite_entries_entry-1245.0_cleopatra-bv.txt","1636","char-offset:458","","","","","","","","","Date","","",""
"38fb4873-1665-40e8-918e-2ae6c61633aa","Tite_entries_entry-1245.0_cleopatra-bv.txt","119.10","char-offset:464","","","","","","","","","List Reference","","",""
"f46a125d-9093-4d17-a740-42f6cdeedf61","Tite_entries_entry-1245.0_cleopatra-bv.txt","this or Calig. A.III, Tit. D.II, IX or Cleo.        A-XIV.","char-offset:472","","","","","","","","","Uncertain Book","","",""
"02173636-e591-4b32-a419-cc4c15ef7de1","Tite_entries_entry-1242.0_cleopatra-biii.txt","John Selden","char-offset:301","PERSON","","","","","","","","","","",""
"a07d47c1-9d1d-48db-880b-defcc93bafeb","Tite_entries_entry-1242.0_cleopatra-biii.txt","John Selden, 1640 (208.1).","char-offset:301","","","","","","","","","Loan","","",""
"04d330a0-a9bb-4d36-a44d-d59e25151552","Tite_entries_entry-1242.0_cleopatra-biii.txt","1640","char-offset:314","","","","","","","","","Date","","",""
"bdc93857-d702-4b80-9f1f-a2776629d3b2","Tite_entries_entry-1242.0_cleopatra-biii.txt","208.1","char-offset:320","","","","","","","","","List Reference","","",""
"0ebfcee7-9857-4ac7-9015-807bcd9e7162","Tite_entries_entry-1249.0_cleopatra-bix.txt","James  Ussher, 1621 (2.6)","char-offset:365","","","","","","","","","Loan","","",""
"d8fa0e53-c656-4a1d-a3ee-ab38152989a7","Tite_entries_entry-1249.0_cleopatra-bix.txt","James  Ussher","char-offset:365","PERSON","","","","","","","","","","",""
"773cee94-3543-430d-8a65-1d82ccea640b","Tite_entries_entry-1249.0_cleopatra-bix.txt","1621","char-offset:380","","","","","","","","","Date","","",""
"0d3fe307-1c67-4eef-a41b-c8e822146207","Tite_entries_entry-1249.0_cleopatra-bix.txt","2.6","char-offset:386","","","","","","","","","List Reference","","",""
"24591c76-5a38-48f3-84bf-867d73f4bd98","Tite_entries_entry-1249.0_cleopatra-bix.txt","Sir Thomas  Cotton's                   ‘cosen’","char-offset:392","PERSON","","","","","","","","","","",""
"cfeb50f8-251c-41b6-adf6-7b99a46047b2","Tite_entries_entry-1249.0_cleopatra-bix.txt","Sir Thomas  Cotton's                   ‘cosen’, late 1655 or early 1656 (260)","char-offset:392","","","","","","","","","Loan","","",""
"3f7942bc-f7b6-4079-9ecd-c15499115587","Tite_entries_entry-1249.0_cleopatra-bix.txt","late 1655 or early 1656","char-offset:440","","","","","","","","","Date","","",""
"2b1c9f4c-15e3-4ddc-98fc-de3d697fe013","Tite_entries_entry-1249.0_cleopatra-bix.txt","260","char-offset:465","","","","","","","","","List Reference","","",""
"46470de1-9612-4ba4-8110-096cf7241ed0","Tite_entries_entry-1252.0_cleopatra-bxii.txt","Henry Howard,  c.1612 (21.6: ? this or ? Cleo. E.1).","char-offset:312","","","","","","","","","Loan","","",""
"0088b73a-a24e-442d-932c-710e469b8f7f","Tite_entries_entry-1252.0_cleopatra-bxii.txt","Henry Howard","char-offset:312","PERSON","","","","","","","","","","",""
"5f98d4ba-5457-40e0-b197-dffd23d18e5b","Tite_entries_entry-1252.0_cleopatra-bxii.txt","c.1612","char-offset:327","","","","","","","","","Date","","",""
"c91d6153-653e-49c0-b1a7-e724cf7849d8","Tite_entries_entry-1252.0_cleopatra-bxii.txt","21.6","char-offset:335","","","","","","","","","List Reference","","",""
"8bd5a8e7-e5d5-451c-81de-ba4d8fbd8434","Tite_entries_entry-1252.0_cleopatra-bxii.txt","? this or ? Cleo. E.1","char-offset:341","","","","","","","","","Uncertain Book","","",""
"977014c6-74e0-4116-a1d0-2741cc2b4557","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","(of (1) at least fols 59-89, artt. 11, 12, of this or (2)         Nero  E.I) John Williams, c.1610-12 (39.3)","char-offset:559","","","","","","","","","Loan","","",""
"2f29aaff-4dc4-4361-9e12-caa707cc863c","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","of (1) at least fols 59-89, artt. 11, 12, of this or (2)         Nero  E.I","char-offset:560","","","","","","","","","Partial|Uncertain Book","","",""
"975acfb1-0814-480d-b4b8-4c3f311251eb","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","John Williams,","char-offset:636","PERSON","","","","","","","","","","",""
"18ea3716-c8c6-426b-8794-b6aaed78e858","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","c.1610-12","char-offset:651","","","","","","","","","Date","","",""
"5c55d96f-8913-41db-a5d3-7450ac34d19c","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","39.3","char-offset:662","","","","","","","","","List Reference","","",""
"d6307d59-c8bb-4cea-bd80-ed662c211d23","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","(of at least         fols 1-89, artt. 1-12) James Ussher, by 1611 (59.1).","char-offset:669","","","","","","","","","Loan","","",""
"25d376ce-1df0-4db1-98f0-1046a1dfa3e0","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","of at least         fols 1-89, artt. 1-12","char-offset:670","","","","","","","","","Partial","","",""
"d092c08d-31d6-4129-9f87-1a0278d388e4","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","James Ussher","char-offset:713","PERSON","","","","","","","","","","",""
"2ea74ae0-0e59-4d16-bde0-c46491d78441","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","by 1611","char-offset:727","","","","","","","","","Date","","",""
"d137632a-4395-4ffe-b44b-3d0136db3314","Tite_entries_entry-1253.0_cleopatra-bxiii.txt","59.1","char-offset:736","","","","","","","","","List Reference","","",""
