"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"68375d80-aaa8-479d-b3f4-59fc0bad855a","Tite_entries_entry-301.0_claudius-aiii.txt","John Selden","char-offset:845","PERSON","","","","","","","","","","",""
"3b348c15-cbd0-4b17-a4d0-ba7b7fd6d0ae","Tite_entries_entry-301.0_claudius-aiii.txt","John Selden (6018, fol. 6). (See also D.M. Barratt,         ‘The library of John  Selden  and  its later history’,         Bodleian Library Record, 3 (1950-51), 135, 213.)","char-offset:845","","","","","","","","","Loan","Before 1618
","",""
"ff7df3ab-0c83-45d7-8d91-717a0f2fa58f","Tite_entries_entry-301.0_claudius-aiii.txt","6018, fol. 6","char-offset:858","","","","","","","","","List Reference","","",""
"34502476-492f-4c6b-a5c1-f53f99913823","Tite_entries_entry-299.0_claudius-ai.txt","James  Ussher","char-offset:139","PERSON","","","","","","","","","","",""
"50b4be98-f9d4-4708-894a-978f4e7bf1c8","Tite_entries_entry-299.0_claudius-ai.txt","James  Ussher, 1625, via ‘Mr Burnett’ (Jul. C.III,                   fol. 383).","char-offset:139","","","","","","","","","Loan","","",""
"ed06b093-f5a6-47b8-b3b8-00593cd87c83","Tite_entries_entry-299.0_claudius-ai.txt","1625","char-offset:154","","","","","","","","","Date","","",""
"22fa590b-b174-4c95-8799-13a9ad9fdcf7","Tite_entries_entry-299.0_claudius-ai.txt","Mr Burnett","char-offset:165","PERSON","","","","","","","","Agent","","",""
"fc684875-53f0-45e5-b9d1-97e73658c8e8","Tite_entries_entry-299.0_claudius-ai.txt","Jul. C.III,                   fol. 383","char-offset:178","","","","","","","","","List Reference","","",""
"9a7bc0d9-6a29-40aa-90b9-26b097c25ccc","Tite_entries_entry-302.0_claudius-aiv.txt","John  Selden","char-offset:189","PERSON","","","","","","","","","","",""
"9e095564-5933-4e1a-bac6-f768fe9e94bb","Tite_entries_entry-302.0_claudius-aiv.txt","John  Selden, 1639 (186.1).","char-offset:189","","","","","","","","","Loan","","",""
"3461f8e8-3260-4c05-ace0-b3420f00a43d","Tite_entries_entry-302.0_claudius-aiv.txt","1639","char-offset:203","","","","","","","","","Date","","",""
"c799dbc4-d456-4cb7-bdcf-8ad1368c888c","Tite_entries_entry-302.0_claudius-aiv.txt","186.1","char-offset:209","","","","","","","","","List Reference","","",""
"68aed826-68e7-4253-aa26-2645fc2e4e07","Tite_entries_entry-308.0_claudius-aviii.txt","Henry  Montagu","char-offset:448","PERSON","","","","","","","","","","",""
"709f2a87-799b-4066-846c-6f2146cb43cd","Tite_entries_entry-308.0_claudius-aviii.txt","Henry  Montagu,   by 1631  (113.10: ? this);","char-offset:448","","","","","","","","","Loan|Uncertain Book","","",""
"87968cbf-d33c-4234-accb-afa9deccedd1","Tite_entries_entry-308.0_claudius-aviii.txt","by 1631","char-offset:466","","","","","","","","","Date","","",""
"d908d40a-5e8c-4e29-a7a5-c88e82a5bb8c","Tite_entries_entry-308.0_claudius-aviii.txt","113.10","char-offset:476","","","","","","","","","List Reference","","",""
"a34cdbe4-51f6-438e-8a7a-4fd15664c33c","Tite_entries_entry-308.0_claudius-aviii.txt","?             Montagu,  by 1631 (120.5: ? this);","char-offset:493","","","","","","","","","Loan|Uncertain Book|Uncertain Person","","",""
"f96f6c4e-b061-4d8c-9ab9-c9016bac5aa0","Tite_entries_entry-308.0_claudius-aviii.txt","Montagu","char-offset:507","PERSON","","","","","","","","","","",""
"9c4bac52-c4b1-47ea-926c-7cd419480051","Tite_entries_entry-308.0_claudius-aviii.txt","by 1631","char-offset:517","","","","","","","","","Date","","",""
"3d82dca8-02f0-48dd-a206-d9320eacb3e6","Tite_entries_entry-308.0_claudius-aviii.txt","120.5","char-offset:526","","","","","","","","","List Reference","","",""
"09a28683-c304-45d3-97e4-01ef217af7fa","Tite_entries_entry-308.0_claudius-aviii.txt","Sir William Howard,             1640 (196.1).","char-offset:542","","","","","","","","","Loan","","",""
"cab6ada1-bd97-43ea-bf99-561bb04d80cb","Tite_entries_entry-308.0_claudius-aviii.txt","Sir William Howard","char-offset:542","PERSON","","","","","","","","","","",""
"fe26b1ee-548a-484b-b389-a4a03fc71c43","Tite_entries_entry-308.0_claudius-aviii.txt","1640","char-offset:574","","","","","","","","","Date","","",""
"d7c5de1d-abd0-4bb3-b545-bd7a5cec2c4a","Tite_entries_entry-308.0_claudius-aviii.txt","196.1","char-offset:580","","","","","","","","","List Reference","","",""
"1168ad3b-e0e8-4dbc-9e9f-dd6a1f139cbe","Tite_entries_entry-304.0_claudius-avi.txt","Arthur  Agarde","char-offset:306","PERSON","","","","","","","","","","",""
"a6d4e165-3a20-42a5-9fa1-70cbab6f1072","Tite_entries_entry-304.0_claudius-avi.txt","Arthur  Agarde,  1612-15  (71.17, 77.10);","char-offset:306","","","","","","","","","Loan","","",""
"d931a37a-646f-4aa0-95b1-0048762f26e6","Tite_entries_entry-304.0_claudius-avi.txt","1612-15","char-offset:323","","","","","","","","","Date","","",""
"825e2619-3a31-4f57-968d-48c2adfd0335","Tite_entries_entry-304.0_claudius-avi.txt","(71.17, 77.10)","char-offset:332","","","","","","","","","List Reference","","",""
"121c5cdd-1e41-42f5-876f-77a777d546b2","Tite_entries_entry-304.0_claudius-avi.txt","St Lo         Kniveton, 1615-16  (45.22)","char-offset:348","","","","","","","","","Loan","","",""
"5215fb5a-988f-4b37-aa59-e79a4b391f0c","Tite_entries_entry-304.0_claudius-avi.txt","St Lo         Kniveton,","char-offset:348","PERSON","","","","","","","","","","",""
"fd068657-d4de-4fdf-98af-c6d1aa4d94d5","Tite_entries_entry-304.0_claudius-avi.txt","1615-16","char-offset:372","","","","","","","","","Date","","",""
"d14ae419-1f66-42a6-843c-d13c65a95c6d","Tite_entries_entry-304.0_claudius-avi.txt","45.22","char-offset:382","","","","","","","","","List Reference","","",""
"f70afec3-71a4-4f1b-b9bf-dd817730f9b0","Tite_entries_entry-304.0_claudius-avi.txt","William  Camden,   date        unknown   but before 1623 (143: fols 156-284y, artt. 2        and  3 of this, Otho A.XIV, C.VII, Vit. A.III, D-XITI,        EMIII,  Vesp. A-XII or Dom.  XII).","char-offset:390","","","","","","","","","Loan","","",""
"8c7cbbee-352f-4f42-8d58-5ff97d2f0c42","Tite_entries_entry-304.0_claudius-avi.txt","William  Camden","char-offset:390","PERSON","","","","","","","","","","",""
"11f52b97-6b1b-4f68-ac5a-b14a5809c122","Tite_entries_entry-304.0_claudius-avi.txt","but before 1623","char-offset:431","","","","","","","","","Date","","",""
"b418b48d-13b1-4bc4-a42e-48520f974d4b","Tite_entries_entry-304.0_claudius-avi.txt","143","char-offset:448","","","","","","","","","List Reference","","",""
"bf27e303-917a-403d-aa94-3b49898905ec","Tite_entries_entry-304.0_claudius-avi.txt","fols 156-284y, artt. 2        and  3 of this","char-offset:453","","","","","","","","","Partial","","",""
"f7ff50ba-3fd5-4610-b9cc-0760d0d96c03","Tite_entries_entry-304.0_claudius-avi.txt","Otho A.XIV, C.VII, Vit. A.III, D-XITI,        EMIII,  Vesp. A-XII or Dom.  XII)","char-offset:499","","","","","","","","","Uncertain Book","","",""
"00e5886f-df40-4ca7-ad11-459a1497f6a2","Tite_entries_entry-312.0_claudius-ax.txt","James  Ussher","char-offset:292","PERSON","","","","","","","","","","",""
"276b1760-8c4b-46dd-860b-2ad5680cdb80","Tite_entries_entry-312.0_claudius-ax.txt","James  Ussher, 1621 (2.11; annotation by Ussher, fol. 3).","char-offset:292","","","","","","","","","Loan","","",""
"95f4ce69-6154-44fa-9a76-b7a22a2defa1","Tite_entries_entry-312.0_claudius-ax.txt","1621","char-offset:307","","","","","","","","","Date","","",""
"f8384ce0-c7c2-4d1f-ae5b-74d06f9a4a9a","Tite_entries_entry-312.0_claudius-ax.txt","(2.11","char-offset:312","","","","","","","","","List Reference","","",""
"07a295fb-caac-4d45-9512-9c2c6406292f","Tite_entries_entry-303.0_claudius-av.txt","James Ussher, 1625, via ‘Mr Burnett’ (Jul. C.III, fol.         383).","char-offset:375","","","","","","","","","Loan","","",""
"1de7b451-e891-4939-b498-e676134322df","Tite_entries_entry-303.0_claudius-av.txt","James Ussher","char-offset:375","PERSON","","","","","","","","","","",""
"5a9371f6-07ae-488b-8ef6-80e049c1a4a6","Tite_entries_entry-303.0_claudius-av.txt","1625","char-offset:389","","","","","","","","","Date","","",""
"27bc7df6-2a07-4451-b53b-848d415b5ed9","Tite_entries_entry-303.0_claudius-av.txt","Mr Burnett","char-offset:400","PERSON","","","","","","","","Agent","","",""
"4e1060e7-68bd-4499-9b10-ff4dae36a73a","Tite_entries_entry-303.0_claudius-av.txt","Jul. C.III, fol.         383","char-offset:413","","","","","","","","","List Reference","","",""
"6ed27282-2b6f-4d4e-826d-26d00b439bf8","Tite_entries_entry-314.0_claudius-axi.txt","Patrick Young, ¢.1616 (49.6);","char-offset:503","","","","","","","","","Loan","","",""
"5cd39548-91e5-493a-9a1d-ec84317bcd59","Tite_entries_entry-314.0_claudius-axi.txt","Patrick Young","char-offset:503","PERSON","","","","","","","","","","",""
"68e82618-00f1-4ad1-bdee-89533bc89021","Tite_entries_entry-314.0_claudius-axi.txt","¢.1616","char-offset:518","","","","","","","","","Date","","",""
"834b8292-8bf0-4195-97b8-025ce67e4ff0","Tite_entries_entry-314.0_claudius-axi.txt","49.6","char-offset:526","","","","","","","","","List Reference","","",""
"e239e8e1-2a1b-4268-8c7c-4a182e61d57a","Tite_entries_entry-314.0_claudius-axi.txt","John Selden","char-offset:533","PERSON","","","","","","","","","","",""
"6ab99aa7-4f06-4ede-9e2c-bfead806525d","Tite_entries_entry-314.0_claudius-axi.txt","John Selden, ¢.1638       (163.19: this or Nero A.VII)","char-offset:533","","","","","","","","","Loan","","",""
"a82ee102-0163-453b-bb46-403203d4a0c6","Tite_entries_entry-314.0_claudius-axi.txt","¢.1638","char-offset:546","","","","","","","","","Date","","",""
"dff0153d-7212-435d-a4ea-eafcfaca6ec2","Tite_entries_entry-314.0_claudius-axi.txt","163.19","char-offset:560","","","","","","","","","List Reference","","",""
"3b913a03-6a82-4803-9c5c-a02efec249b4","Tite_entries_entry-314.0_claudius-axi.txt","this or Nero A.VII","char-offset:568","","","","","","","","","Uncertain Book","","",""
