"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5b819b04-f6b7-40ec-a77b-4168553fc45c","Tite_entries_entry-1071.0_titus-axxvii.txt","Henry Spelman, c.1615 (46.4: this or Claud. D.I1)","char-offset:325","","","","","","","","","Loan","","",""
"ce817482-a90f-40c9-9f18-a7fd37dd763f","Tite_entries_entry-1071.0_titus-axxvii.txt","Henry Spelman,","char-offset:325","PERSON","","","","","","","","","","",""
"aa33b20d-2202-4781-8ad4-3713ac6ebdea","Tite_entries_entry-1071.0_titus-axxvii.txt","c.1615","char-offset:340","","","","","","","","","Date","","",""
"2c6ef0b3-c01d-4d99-9bc7-7a8875215a0e","Tite_entries_entry-1071.0_titus-axxvii.txt","46.4","char-offset:348","","","","","","","","","List Reference","","",""
"0d59fc55-75a3-4c51-bac2-ad98fd4f0f54","Tite_entries_entry-1071.0_titus-axxvii.txt","this or Claud. D.I1","char-offset:354","","","","","","","","","Uncertain Book","","",""
"c3c82461-5e82-4113-86c4-6b2eb9a25ba4","Tite_entries_entry-1071.0_titus-axxvii.txt","Spelman, 1617 (99.1: this or Claud. D.II).","char-offset:384","","","","","","","","","Loan","","",""
"cd9353a5-3735-40f9-8de6-fa9d7a73cb2b","Tite_entries_entry-1071.0_titus-axxvii.txt","Spelman","char-offset:384","PERSON","","","","","","","","","Henry Spelman","",""
"8a24175a-68f1-4295-acc0-b4e8980b1445","Tite_entries_entry-1071.0_titus-axxvii.txt","1617","char-offset:393","","","","","","","","","Date","","",""
"5df22b2f-d427-4323-8318-b64999022dd4","Tite_entries_entry-1071.0_titus-axxvii.txt","99.1","char-offset:399","","","","","","","","","List Reference","","",""
"da13080c-e37b-499c-8260-32d6d1350c1d","Tite_entries_entry-1071.0_titus-axxvii.txt","this or Claud. D.II","char-offset:405","","","","","","","","","Uncertain Book","","",""
"8ad4b8b1-d0d7-4b5a-b55c-7dc11ef47575","Tite_entries_entry-1038.0_titus-aii.txt","Arthur  Agarde","char-offset:921","PERSON","","","","","","","","","","",""
"0e167455-7605-4f3d-8214-fbccb7ada10b","Tite_entries_entry-1038.0_titus-aii.txt","Arthur  Agarde, 1612-15 (71.32: ? (2) this or ? (1)              Vesp. A.VI)","char-offset:921","","","","","","","","","Loan","","",""
"72f489d5-5ea5-4268-a270-13185dba562e","Tite_entries_entry-1038.0_titus-aii.txt","1612-15","char-offset:937","","","","","","","","","Date","","",""
"fe928cb7-6a0d-49eb-8a01-03f101423cc7","Tite_entries_entry-1038.0_titus-aii.txt","(71.32","char-offset:945","","","","","","","","","List Reference","","",""
"11d77a14-5cfe-40e1-b13c-ffc6abef91e7","Tite_entries_entry-1038.0_titus-aii.txt","? (2) this or ? (1)              Vesp. A.VI","char-offset:953","","","","","","","","","Uncertain Book","","",""
"23d70831-8d73-4f3b-a885-02106cb27fb4","Tite_entries_entry-1038.0_titus-aii.txt","James Ussher","char-offset:999","PERSON","","","","","","","","","","",""
"5ee664d6-a702-4073-b380-7a3dd3e41ce3","Tite_entries_entry-1038.0_titus-aii.txt","James Ussher, 1625 (Jul. C.III, fol. 383: ?              this; he has annotated fol. 134)","char-offset:999","","","","","","","","","Loan|Uncertain Book","","",""
