"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ce2164e8-a8be-4be5-a50c-148bb59e53e3","Tite_entries_entry-988.5_vespasian-eii.txt","Arthur Agarde","char-offset:161","PERSON","","","","","","","","","","",""
"9b5b1a70-4c1a-4091-ad2a-c9bfb8644303","Tite_entries_entry-988.5_vespasian-eii.txt","Arthur Agarde, 1612-15 (18.17: this, Otho B.XTV or                   Vesp. A.XVIII).","char-offset:161","","","","","","","","","Loan","","",""
"8955817e-eba9-40bf-b617-513e5567f566","Tite_entries_entry-988.5_vespasian-eii.txt","1612-15","char-offset:176","","","","","","","","","Date","","",""
"a8b6ab0b-b780-440b-80c1-1e068ee4c881","Tite_entries_entry-988.5_vespasian-eii.txt","18.17","char-offset:185","","","","","","","","","List Reference","","",""
"6763d7d9-4798-4306-88e7-fc78f0ff800d","Tite_entries_entry-988.5_vespasian-eii.txt","this, Otho B.XTV or                   Vesp. A.XVIII","char-offset:192","","","","","","","","","Uncertain Book","","",""
"1820154c-8eff-4a31-9068-189ad605d8e2","Tite_entries_entry-1007.0_vespasian-exvii.txt","Francis Crane, 1670 (270)","char-offset:459","","","","","","","","","Loan","","",""
"417abfb6-3788-4101-a00e-1ab456de4ae4","Tite_entries_entry-1007.0_vespasian-exvii.txt","Francis Crane","char-offset:459","PERSON","","","","","","","","","","",""
"279a8373-4fbc-4b2e-aae6-ad686cadcd36","Tite_entries_entry-1007.0_vespasian-exvii.txt","1670","char-offset:474","","","","","","","","","Date","","",""
"6a2f3790-439e-43bc-a5a4-392ddacac475","Tite_entries_entry-1007.0_vespasian-exvii.txt","270","char-offset:480","","","","","","","","","List Reference","","",""
"b20488de-a7cb-44c8-a6cb-b56b274f3658","Tite_entries_entry-998.0_vespasian-exi.txt","Jaspar Gryffyth","char-offset:293","PERSON","","","","","","","","","","",""
"bac1d097-8d62-4924-b0e7-614d7ede4582","Tite_entries_entry-998.0_vespasian-exi.txt","Jaspar Gryffyth, c.1610-12 (40.2; the reference in         the opening  line of Gryffyth’s letter to Cotton of 1613         may  be to this loan. For the letter, see R. Ovenden,         JJaspar  Gryffyth and   his  books,  British Library         Journal, 20  (1994), 120.)","char-offset:293","","","","","","","","","Loan","","",""
"84c80ce7-db68-4bb9-8318-0ce60161095e","Tite_entries_entry-998.0_vespasian-exi.txt","c.1610-12","char-offset:310","","","","","","","","","Date","","",""
"eaf43fb0-775f-443d-a9cc-ee7e693255d9","Tite_entries_entry-998.0_vespasian-exi.txt","40.2","char-offset:321","","","","","","","","","List Reference","","",""
"fffd933d-2605-4edc-bc46-092e7c6f3f29","Tite_entries_entry-998.0_vespasian-exi.txt","Francis Tate, 1613 (fol. 43,         40.2)","char-offset:568","","","","","","","","","Loan","","",""
"93e9cb3e-7327-4db9-88b7-171c2dffdca1","Tite_entries_entry-998.0_vespasian-exi.txt","Francis Tate","char-offset:568","PERSON","","","","","","","","","","",""
"efea96e9-cc8e-4e6d-b9ea-f85af795e56b","Tite_entries_entry-998.0_vespasian-exi.txt","1613","char-offset:582","","","","","","","","","Date","","",""
"9b7aad7c-41f5-4d89-bd7e-cf5ec2b49011","Tite_entries_entry-998.0_vespasian-exi.txt","fol. 43,         40.2","char-offset:588","","","","","","","","","List Reference","","",""
"8984cda7-3f4b-4c07-bdcd-b54237673d05","Tite_entries_entry-998.0_vespasian-exi.txt","? John Selden","char-offset:612","PERSON","","","","","","","","Uncertain Person","","",""
"3d838312-1c1a-41a2-a5ca-161dceb7afe2","Tite_entries_entry-998.0_vespasian-exi.txt","? John Selden, before 1617 (111.11)","char-offset:612","","","","","","","","","Loan","","",""
"339a704b-2920-4add-8f9d-8c0b98152c9b","Tite_entries_entry-998.0_vespasian-exi.txt","before 1617","char-offset:627","","","","","","","","","Date","","",""
"85013aa3-e88b-40f7-be2b-faebba322fa0","Tite_entries_entry-998.0_vespasian-exi.txt","111.11","char-offset:640","","","","","","","","","List Reference","","",""
"70b127d5-028f-44a2-9c38-db5e664f9744","Tite_entries_entry-998.0_vespasian-exi.txt","Tate, 1612-16         (73.6)","char-offset:649","","","","","","","","","Loan","","",""
"a140b5a4-1103-414f-ab6f-0e28ee15a8c7","Tite_entries_entry-998.0_vespasian-exi.txt","Tate","char-offset:649","PERSON","","","","","","","","","Francis Tate
","",""
"98c962e8-0dc7-4e0e-bdf6-d263ab3c4ad2","Tite_entries_entry-998.0_vespasian-exi.txt","1612-16","char-offset:655","","","","","","","","","Date","","",""
"4032e6c8-28c4-4d1a-82b7-708932a75ec7","Tite_entries_entry-998.0_vespasian-exi.txt","73.6","char-offset:672","","","","","","","","","List Reference","","",""
"d652c03e-f26e-47db-a84d-7333f7b0b0df","Tite_entries_entry-998.0_vespasian-exi.txt","Tate, before 1617 (111.11)","char-offset:679","","","","","","","","","Loan","","",""
"4ada9878-62ec-4ff1-bd01-c58887ffb191","Tite_entries_entry-998.0_vespasian-exi.txt","Tate","char-offset:679","PERSON","","","","","","","","","Francis Tate","",""
"cc179cc8-5092-4f6b-bee6-a880e8593def","Tite_entries_entry-998.0_vespasian-exi.txt","before 1617","char-offset:685","","","","","","","","","Date","","",""
"d17c38c2-a89b-47d6-a382-692351f51f14","Tite_entries_entry-998.0_vespasian-exi.txt","111.11","char-offset:698","","","","","","","","","List Reference","","",""
"f93cf181-b346-498c-84b0-d35c71f2ee10","Tite_entries_entry-998.0_vespasian-exi.txt","Peter Balle","char-offset:707","PERSON","","","","","","","","","","",""
"0596f72d-c965-49b2-818b-0f887221b906","Tite_entries_entry-998.0_vespasian-exi.txt","Peter Balle, 1650         (227.1).","char-offset:707","","","","","","","","","Loan","","",""
"6be2055c-351f-4bd8-b219-162fda7386f5","Tite_entries_entry-998.0_vespasian-exi.txt","1650","char-offset:720","","","","","","","","","Date","","",""
"afbf7d8f-2e94-4545-a758-724c2bb045d0","Tite_entries_entry-998.0_vespasian-exi.txt","227.1","char-offset:734","","","","","","","","","List Reference","","",""
"3d370cef-1084-4791-bf21-caa0f73bd58e","Tite_entries_entry-989.0_vespasian-eiii.txt","(of fols 171-78, art. 11) John Speed and  John                    Barkham,  c.1612 (50.8: ? this, but the folios are quarto                   while the item in the loan is listed as octavo)","char-offset:790","","","","","","","","","Loan","","",""
"b8641937-5ab6-471f-b013-d370dd41b14a","Tite_entries_entry-989.0_vespasian-eiii.txt","of fols 171-78, art. 11","char-offset:791","","","","","","","","","Partial","","",""
"13d21f6d-b33c-4374-a30c-63ff2e92d808","Tite_entries_entry-989.0_vespasian-eiii.txt","John Speed","char-offset:816","PERSON","","","","","","","","","","",""
"c6d49a52-0f22-4dee-abed-6909f0e1ba9a","Tite_entries_entry-989.0_vespasian-eiii.txt","John                    Barkham","char-offset:832","PERSON","","","","","","","","","","",""
"85d2dd39-1dd3-4b3f-9506-87f601384bbb","Tite_entries_entry-989.0_vespasian-eiii.txt","c.1612","char-offset:866","","","","","","","","","Date","","",""
"d23c53ac-8efe-4693-892b-15fb76f1a905","Tite_entries_entry-989.0_vespasian-eiii.txt","50.8","char-offset:874","","","","","","","","","List Reference","","",""
"c7f6aa08-4cd9-4af4-a74b-d9df48125b88","Tite_entries_entry-989.0_vespasian-eiii.txt","Richard                    Montague","char-offset:981","PERSON","","","","","","","","","","",""
"28a036ae-1129-4b8d-8cc6-34ac60fbd280","Tite_entries_entry-989.0_vespasian-eiii.txt","Richard                    Montague,  1621 (2,42; see also Jul. C.III, fol. 274)","char-offset:981","","","","","","","","","Loan","","",""
"407e68a0-1974-4d01-8e0a-4daa1a45fcc9","Tite_entries_entry-989.0_vespasian-eiii.txt","1621","char-offset:1019","","","","","","","","","Date","","",""
"0ce34d36-35fa-41f5-8fce-cddf2fad13c8","Tite_entries_entry-989.0_vespasian-eiii.txt","2,42","char-offset:1025","","","","","","","","","List Reference","","",""
"1625c593-6563-4fbb-b13f-e3b7d18c1463","Tite_entries_entry-989.0_vespasian-eiii.txt","Peter Balle","char-offset:1082","PERSON","","","","","","","","","","",""
"4d13380b-82d8-48d5-b568-84e94e3002e5","Tite_entries_entry-989.0_vespasian-eiii.txt","Peter Balle, 1651 (127)","char-offset:1082","","","","","","","","","Loan","","",""
"0b01cc36-b75f-4136-b93a-4dfd579f466d","Tite_entries_entry-989.0_vespasian-eiii.txt","1651","char-offset:1095","","","","","","","","","Date","","",""
"4d629240-b42c-475f-8d43-6894a1844855","Tite_entries_entry-989.0_vespasian-eiii.txt","127","char-offset:1101","","","","","","","","","List Reference","","",""
"5d2d1fbd-f68c-4a51-9a74-e2c8415f57bc","Tite_entries_entry-989.0_vespasian-eiii.txt","John Selden","char-offset:1107","PERSON","","","","","","","","","","",""
"7ce2e4f3-0195-4dbe-b844-de7edfc869f0","Tite_entries_entry-989.0_vespasian-eiii.txt","John Selden (6018, no. 310).","char-offset:1107","","","","","","","","","Loan","","",""
"08e4574f-0716-4d9e-859e-68197780405d","Tite_entries_entry-989.0_vespasian-eiii.txt","6018, no. 310","char-offset:1120","","","","","","","","","List Reference","","",""
