"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1d00716c-7794-4398-b7de-519d408b0cfe","Tite_entries_entry-81.0_augustus-i.txt","William Camden","char-offset:4009","PERSON","","","","","","","","","","",""
"40b88fe2-5089-40e2-bfa1-7f6d0f6f498d","Tite_entries_entry-81.0_augustus-i.txt","William Camden, 1606 (10.5)","char-offset:4009","","","","","","","","","Loan","","",""
"04e9dc3f-9602-42f3-996f-252b56c07a93","Tite_entries_entry-81.0_augustus-i.txt","1606","char-offset:4025","","","","","","","","","Date","","",""
"2ec837dc-92b0-4d8b-a508-5c761f67569c","Tite_entries_entry-81.0_augustus-i.txt","10.5","char-offset:4031","","","","","","","","","List Reference","","",""
"424010b1-b3aa-463c-b69d-c37823abf741","Tite_entries_entry-81.0_augustus-i.txt","John Dodderidge,   ? c.1609 (Jul. C.IH, fol. 152","char-offset:4038","","","","","","","","","Loan","","",""
"07c35c40-4ceb-400b-a39d-bc553418ce6e","Tite_entries_entry-81.0_augustus-i.txt","John Dodderidge","char-offset:4038","PERSON","","","","","","","","","","",""
"ee69fb3d-e724-4081-a869-88e2c52ddf5b","Tite_entries_entry-81.0_augustus-i.txt","? c.1609","char-offset:4057","","","","","","","","","Date|Uncertain Date","","",""
"92956465-f085-421a-a3c6-b08897b8313e","Tite_entries_entry-81.0_augustus-i.txt","Jul. C.IH, fol. 152","char-offset:4067","","","","","","","","","List Reference","","",""
"5a37e6cb-ffef-416b-9f3c-4f811ed92639","Tite_entries_entry-81.0_augustus-i.txt","Thomas Howard, 1621-29   (76.5).","char-offset:4089","","","","","","","","","Loan","","",""
"74e3f5e7-fd13-431b-a8bf-c307975398ea","Tite_entries_entry-81.0_augustus-i.txt","Thomas Howard","char-offset:4089","PERSON","","","","","","","","","","",""
"4ad480a1-4258-4378-982f-4bdf02f7c810","Tite_entries_entry-81.0_augustus-i.txt","1621-29","char-offset:4104","","","","","","","","","Date","","",""
"512eae50-5092-4b69-bac5-a8e074c360cc","Tite_entries_entry-81.0_augustus-i.txt","76.5","char-offset:4115","","","","","","","","","List Reference","","",""
"5f559470-46aa-483a-b232-0e7235c83bd2","Tite_entries_entry-95.0_augustus-i.ii32.txt","John Harington, ¢.1610-12 (43.1: ? including this).","char-offset:853","","","","","","","","","Loan|Uncertain Book","","",""
"6a16399d-4031-4454-920f-5ddb0d0497b0","Tite_entries_entry-95.0_augustus-i.ii32.txt","John Harington","char-offset:853","PERSON","","","","","","","","","","",""
"2422ccac-7681-4cb1-9e8d-565b5128210d","Tite_entries_entry-95.0_augustus-i.ii32.txt","¢.1610-12","char-offset:869","","","","","","","","","Date","","",""
"6d3715fd-5365-44e0-a575-7b9fb0d826f5","Tite_entries_entry-95.0_augustus-i.ii32.txt","43.1:","char-offset:880","","","","","","","","","List Reference","","",""
"2f70f8e8-cb02-4c18-8c59-c57c167ce15a","Tite_entries_entry-94.0_augustus-i.ii31.txt","John Harington","char-offset:242","PERSON","","","","","","","","","","",""
"c84af65f-2e92-4e1d-a2e0-933dac946b2f","Tite_entries_entry-94.0_augustus-i.ii31.txt","John Harington, c.1610-12 (43.1)","char-offset:242","","","","","","","","","Loan","","",""
"ceeab7f4-a1ca-44f5-9c8f-75962dbce4ab","Tite_entries_entry-94.0_augustus-i.ii31.txt","c.1610-12","char-offset:258","","","","","","","","","Date","","",""
"2717d843-f0cb-4b03-ac79-21d42c6236d2","Tite_entries_entry-94.0_augustus-i.ii31.txt","43.1","char-offset:269","","","","","","","","","List Reference","","",""
"0faf6e63-0d1b-4941-bf85-21ed05114ca5","Tite_entries_entry-96.0_augustus-i.ii33.txt","John Harington","char-offset:211","PERSON","","","","","","","","","","",""
"e5cfd20a-72c0-4222-813f-6b3cce735c24","Tite_entries_entry-96.0_augustus-i.ii33.txt","John Harington, ¢.1610-12 (43.1)","char-offset:211","","","","","","","","","Loan","","",""
"1362f857-edb9-4fc3-896e-9c1cbd44fd7e","Tite_entries_entry-96.0_augustus-i.ii33.txt","¢.1610-12","char-offset:227","","","","","","","","","Date","","",""
"1afdad8f-e071-4af5-a99e-2c4669dddd1d","Tite_entries_entry-96.0_augustus-i.ii33.txt","43.1","char-offset:238","","","","","","","","","List Reference","","",""
"6b99fa4f-0856-40db-8d9e-3b973a13e0db","Tite_entries_entry-97.0_augustus-i.ii34.txt","John  Harington","char-offset:241","PERSON","","","","","","","","","","",""
"930da8b5-f5dd-47bd-9839-2dcbfedff2fa","Tite_entries_entry-97.0_augustus-i.ii34.txt","John  Harington, c.1610-12 (43.1)","char-offset:241","","","","","","","","","Loan","","",""
"1d5cefb8-d6ad-4f1f-b3d3-44fb80855a68","Tite_entries_entry-97.0_augustus-i.ii34.txt","c.1610-12","char-offset:258","","","","","","","","","Date","","",""
"a5437c0a-5772-4e9d-b9d2-3ef76e415292","Tite_entries_entry-97.0_augustus-i.ii34.txt","43.1","char-offset:269","","","","","","","","","List Reference","","",""
"91cd7197-e5d3-4deb-9d16-8ad7fddb7593","Tite_entries_entry-98.0_augustus-i.ii35.txt","John Harington","char-offset:228","PERSON","","","","","","","","","","",""
"d6978c15-2dd1-4447-8aa7-a900ec221b4f","Tite_entries_entry-98.0_augustus-i.ii35.txt","John Harington, c,1610-12 (43.1)","char-offset:228","","","","","","","","","Loan","","",""
