"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9fb4f265-2ff4-4f4c-b94b-b7c1605cffc1","Tite_entries_entry-220.0_caligula-aiii.txt","Edward  Herbert","char-offset:316","PERSON","","","","","","","","","","",""
"781156dc-be68-4ac6-a3b4-4e3c8a28db5c","Tite_entries_entry-220.0_caligula-aiii.txt","Edward  Herbert, 1636 (119.10: this or Tit. D.II, IX,        Cleo. A.XIV or B.V.)","char-offset:316","","","","","","","","","Loan","","",""
"8240170a-4e5d-46cd-961a-ceb56f544bc6","Tite_entries_entry-220.0_caligula-aiii.txt","1636","char-offset:333","","","","","","","","","Date","","",""
"9ecae5c7-2dc5-4c73-a9f9-eec6aa7aad50","Tite_entries_entry-220.0_caligula-aiii.txt","119.10","char-offset:339","","","","","","","","","List Reference","","",""
"144f89a5-cd44-4541-a17a-4a4130cf2024","Tite_entries_entry-220.0_caligula-aiii.txt","this or Tit. D.II, IX,        Cleo. A.XIV or B.V","char-offset:347","","","","","","","","","Uncertain Book","","",""
"128db41b-907e-4093-9972-d33346f882ba","Tite_entries_entry-240.0_caligula-axv.txt","Francis Tate","char-offset:266","PERSON","","","","","","","","","","",""
"2bec676e-1a36-4e18-8c66-0fdf8ee786da","Tite_entries_entry-240.0_caligula-axv.txt","Francis Tate, by 1612 (22.9);","char-offset:266","","","","","","","","","Loan","","",""
"6c568bc5-0ea4-4b49-80e6-81cecd9bdd6e","Tite_entries_entry-240.0_caligula-axv.txt","by 1612","char-offset:280","","","","","","","","","Date","","",""
"54b7dca5-34ab-4220-ae3e-1a7ae7cfc14a","Tite_entries_entry-240.0_caligula-axv.txt","22.9","char-offset:289","","","","","","","","","List Reference","","",""
"bdbfa335-ef04-45dd-a200-4a3a2c54cd98","Tite_entries_entry-240.0_caligula-axv.txt","John Selden, 1639             (187.1);","char-offset:296","","","","","","","","","Loan","","",""
"ecc896bd-9932-4d33-8057-4694ba6f1b32","Tite_entries_entry-240.0_caligula-axv.txt","John Selden","char-offset:296","PERSON","","","","","","","","","","",""
"20f36a8b-50b8-4232-89f4-3a1332733226","Tite_entries_entry-240.0_caligula-axv.txt","1639","char-offset:309","","","","","","","","","Date","","",""
"c3329c7e-4140-4336-85ba-82bf3dcc6f1c","Tite_entries_entry-240.0_caligula-axv.txt","187.1","char-offset:327","","","","","","","","","List Reference","","",""
"0b5bcdb9-e3a8-4d6a-bf11-2af042af8594","Tite_entries_entry-240.0_caligula-axv.txt","William Le Neve, 1641 (222.2).","char-offset:335","","","","","","","","","Loan","","",""
"722d676f-e1eb-467f-9c02-f5f02b4cf2bd","Tite_entries_entry-240.0_caligula-axv.txt","William Le Neve","char-offset:335","PERSON","","","","","","","","","","",""
"c3ced9c2-42e7-4dca-8676-46ba29c2a0ac","Tite_entries_entry-240.0_caligula-axv.txt","1641","char-offset:352","","","","","","","","","Date","","",""
"e2b4dc7e-9aa1-41e7-ac55-627579e95a3c","Tite_entries_entry-240.0_caligula-axv.txt","222.2","char-offset:358","","","","","","","","","List Reference","","",""
"4ed0a9b1-bd31-4fb8-936b-38a99d5d6b27","Tite_entries_entry-234.0_caligula-axiii.txt","Richard St George, by  1614 (15.4: this + Calig.         A.XII, or Otho B.XIV);","char-offset:827","","","","","","","","","Loan","","",""
"67f53d69-ecdd-48c7-bd99-d89ea529f8d2","Tite_entries_entry-234.0_caligula-axiii.txt","Richard St George","char-offset:827","PERSON","","","","","","","","","","",""
"15a5d6c4-48cf-4bc7-b266-4a97511f39d0","Tite_entries_entry-234.0_caligula-axiii.txt","by  1614","char-offset:846","","","","","","","","","Date","","",""
"f9d8e053-6344-4404-81b5-bd8c4d13f403","Tite_entries_entry-234.0_caligula-axiii.txt","15.4","char-offset:856","","","","","","","","","List Reference","","",""
"2868a44a-618f-4243-a89f-4df463d0c71f","Tite_entries_entry-234.0_caligula-axiii.txt","this + Calig.         A.XII, or Otho B.XIV","char-offset:862","","","","","","","","","Uncertain Book","","",""
"ceb19403-f6ee-4d92-b495-82caace8300a","Tite_entries_entry-234.0_caligula-axiii.txt","Arthur Agarde","char-offset:907","PERSON","","","","","","","","","","",""
"4ccce567-52f9-4da0-b0b0-5e3c4bbab6c6","Tite_entries_entry-234.0_caligula-axiii.txt","Arthur Agarde, 1612-15 (71.19,         77.9: this + Calig. A-XII)","char-offset:907","","","","","","","","","Loan","double check that says +/&, not or
","",""
"aa960a33-7dfc-4502-b0f3-bdf2d5e40630","Tite_entries_entry-234.0_caligula-axiii.txt","1612-15","char-offset:922","","","","","","","","","Date","","",""
"7defc4b9-4a91-4618-b881-a068af6d7090","Tite_entries_entry-234.0_caligula-axiii.txt","71.19,         77.9","char-offset:931","","","","","","","","","List Reference","","",""
"28bf2783-210e-4248-93a2-24de4cc3d7df","Tite_entries_entry-234.0_caligula-axiii.txt","Mr Morgan","char-offset:974","PERSON","","","","","","","","","","",""
"842f2611-828e-4ae8-8538-91f7ecca3ef1","Tite_entries_entry-234.0_caligula-axiii.txt","Mr Morgan, 1616 (109.1: this         + Calig. A.XII)","char-offset:974","","","","","","","","","Loan","Double check that says +/&, not or
","",""
"e43707b3-e671-4743-9e33-ff022b5b7a2b","Tite_entries_entry-234.0_caligula-axiii.txt","1616","char-offset:985","","","","","","","","","Date","","",""
"e860b379-e5ce-4c64-ab18-8b5b25528170","Tite_entries_entry-234.0_caligula-axiii.txt","109.1","char-offset:991","","","","","","","","","List Reference","","",""
"34e47140-eb43-4ea1-831a-a0407893643e","Tite_entries_entry-234.0_caligula-axiii.txt","Henry  Montagu,  1621 (2.21: this or         Calig.  A-XID;","char-offset:1028","","","","","","","","","Loan","","",""
"6b913f07-9756-4000-a74c-f538abd38f25","Tite_entries_entry-234.0_caligula-axiii.txt","Henry  Montagu","char-offset:1028","PERSON","","","","","","","","","","",""
"b91bd7f0-fd63-42a8-befd-c79f658f4e24","Tite_entries_entry-234.0_caligula-axiii.txt","1621","char-offset:1045","","","","","","","","","Date","","",""
"825ffafd-65e0-4f67-b695-c1142329fb01","Tite_entries_entry-234.0_caligula-axiii.txt","2.21","char-offset:1051","","","","","","","","","List Reference","","",""
"cd9c0dd6-dc4f-4a8c-8894-5f1fd4a33d1c","Tite_entries_entry-234.0_caligula-axiii.txt","this or         Calig.  A-XID","char-offset:1057","","","","","","","","","Uncertain Book","","",""
"997eccca-6ec8-40f1-8f91-7f7974d72e9c","Tite_entries_entry-234.0_caligula-axiii.txt","Humphrey     Henchman    for  John         Williams, ? 1624 (2.102: this or Calig. A-XII)","char-offset:1090","","","","","","","","","Loan","","",""
"442fe316-5799-4b62-9db2-86f3f5448963","Tite_entries_entry-234.0_caligula-axiii.txt","Humphrey     Henchman","char-offset:1090","PERSON","","","","","","","","Agent","","",""
"3fe8093f-2fcb-4c7f-9342-d817640144f2","Tite_entries_entry-234.0_caligula-axiii.txt","John         Williams","char-offset:1120","PERSON","","","","","","","","","","",""
