"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"3bfb5600-5a08-4102-a011-226fed7b50d1","Tite_entries_entry-40.0_julius-cviii.txt","Thomas   Howard,  1621 (2.78: ? this; cf. Jul. C.III,       fol. 208. If the manuscript lent at 2.78 is identical with       the loans at 75.16, 76.3 and 113.17, the loan at 2.78 can-       not be of Jul.)","char-offset:495","","","","","","","","","Loan","","",""
"79388609-4e00-4a91-bbd3-080b337db070","Tite_entries_entry-40.0_julius-cviii.txt","Thomas   Howard,","char-offset:495","PERSON","","","","","","","","","","",""
"423d102c-11a0-4e51-9cb8-5f61a1de3063","Tite_entries_entry-40.0_julius-cviii.txt","1621","char-offset:513","","","","","","","","","Date","","",""
"84709d32-1169-4e1b-bd92-82226d086212","Tite_entries_entry-40.0_julius-cviii.txt","2.78","char-offset:519","","","","","","","","","reference","","",""
"58e29ff5-7c83-488a-9b01-5d8f9dbbf856","Tite_entries_entry-40.0_julius-cviii.txt","Henry Howard, c.1614 (121.7: ? this or       ? Tit. C.1)","char-offset:704","","","","","","","","","Loan","","",""
"de4ede9d-2a15-4414-980d-706ac3ceae74","Tite_entries_entry-35.0_julius-civ.txt","Bulstrode Whitelocke, 1652  (235.1)","char-offset:142","","","","","","","","","Loan","","",""
"e7fa6ee2-9165-4efd-b863-713ec6d6132f","Tite_entries_entry-35.0_julius-civ.txt","Bulstrode Whitelocke","char-offset:142","PERSON","","","","","","","","","","",""
"e6d2e7df-566a-42d8-b267-be633d8c91db","Tite_entries_entry-35.0_julius-civ.txt","1652","char-offset:164","","","","","","","","","Date","","",""
"9c615770-5219-4afc-8671-10a6e1cea45f","Tite_entries_entry-35.0_julius-civ.txt","235.1","char-offset:171","","","","","","","","","reference","","",""
"8e20565f-6582-4aa5-b720-af8e85704cf7","Tite_entries_entry-31.0_julius-cii.txt","(of at least fols 1-18y, art. 1)","char-offset:2432","","","","","","","","","Partial","","",""
"3663c2c2-c76c-4cf1-85c6-4f7d4745db28","Tite_entries_entry-31.0_julius-cii.txt","(of at least fols 1-18y, art. 1) Hart, 1612 (70.3)","char-offset:2432","","","","","","","","","Loan","","",""
"62738ebf-82c6-44df-bb8e-06a4abf71a62","Tite_entries_entry-31.0_julius-cii.txt","Hart","char-offset:2465","PERSON","","","","","","","","","","",""
"b8e2bae7-8dee-41af-b1b6-b9af905f4a0c","Tite_entries_entry-31.0_julius-cii.txt","1612","char-offset:2471","","","","","","","","","Date","","",""
"69a402e2-fe31-40cd-80e9-4023cdea494a","Tite_entries_entry-31.0_julius-cii.txt","70.3","char-offset:2477","","","","","","","","","reference","","",""
"d631aa25-01e5-4898-b1e5-b29715be7f42","Tite_entries_entry-31.0_julius-cii.txt","(of             at least fols 42-80, artt. 5-16) ? Francis Bacon, ? by 1613             (23.4: (1) this or (2) Nero A.D);","char-offset:2484","","","","","","","","","Loan","","",""
"b40d208a-b3c6-4791-809f-6351c8547477","Tite_entries_entry-31.0_julius-cii.txt","(of             at least fols 42-80, artt. 5-16)","char-offset:2484","","","","","","","","","Partial","","",""
"2d408056-5d67-4632-b5c5-73997c2d22fa","Tite_entries_entry-31.0_julius-cii.txt","Francis Bacon","char-offset:2535","PERSON","","","","","","","","Uncertain Person","","",""
"d5107703-f8c8-4886-b931-c273af683921","Tite_entries_entry-31.0_julius-cii.txt","by 1613","char-offset:2552","","","","","","","","","Date|uncertain date","","",""
"fbc304a9-853f-4da4-872f-deadf432195d","Tite_entries_entry-31.0_julius-cii.txt","(23.4: (1) this or (2) Nero A.D)","char-offset:2572","","","","","","","","","reference|uncertain book","","",""
"bb128f44-947a-424c-99e8-5d073459a626","Tite_entries_entry-31.0_julius-cii.txt","(of at least fols 1-18v,             art. 1) Hart, by 1617 (111.3)","char-offset:2606","","","","","","","","","Loan","","",""
"35c3ac23-d280-47b2-beba-928a51e1dbc3","Tite_entries_entry-31.0_julius-cii.txt","of at least fols 1-18v,             art. 1","char-offset:2607","","","","","","","","","Partial","","",""
"24d565e3-d731-4469-8ced-fd776c7cac86","Tite_entries_entry-31.0_julius-cii.txt","Hart","char-offset:2651","PERSON","","","","","","","","","","",""
"ad90fb69-b461-42c8-a476-d29947246604","Tite_entries_entry-31.0_julius-cii.txt","by 1617","char-offset:2657","","","","","","","","","Date","","",""
"a1bd7928-4f48-495c-b44d-051217fd126d","Tite_entries_entry-31.0_julius-cii.txt","111.3","char-offset:2666","","","","","","","","","reference","","",""
"2cb7acec-9ba7-4c23-b4d2-da2226dbcb5d","Tite_entries_entry-39.0_julius-cvi.txt","John  Bradshaw","char-offset:233","PERSON","","","","","","","","","","",""
"82582bce-0730-4bc7-9f80-e2defaac6331","Tite_entries_entry-39.0_julius-cvi.txt","John  Bradshaw,   by  1631  (113.22);","char-offset:233","","","","","","","","","Loan","","",""
"ebe242d8-61ab-48b5-9676-038818dd60bd","Tite_entries_entry-39.0_julius-cvi.txt","by  1631","char-offset:251","","","","","","","","","Date","","",""
"58f9dab1-37b9-47ad-b694-9e2c4ef3c671","Tite_entries_entry-39.0_julius-cvi.txt","113.22","char-offset:262","","","","","","","","","reference","","",""
"e8ef3c75-96d3-45c6-b3a4-3e5181e739b9","Tite_entries_entry-39.0_julius-cvi.txt","William       Dugdale","char-offset:271","PERSON","","","","","","","","","","",""
"f3e47c76-ad2c-41ca-8e7e-b757b974f5d5","Tite_entries_entry-39.0_julius-cvi.txt","William       Dugdale, ¢.1654 (255).","char-offset:271","","","","","","","","","Loan","","",""
"756ef7f0-0641-4abc-a21f-7e9c6175b103","Tite_entries_entry-39.0_julius-cvi.txt","¢.1654","char-offset:294","","","","","","","","","Date","","",""
"f3fdfa28-f331-4dea-a6f2-fbbf85a1385b","Tite_entries_entry-39.0_julius-cvi.txt","255","char-offset:302","","","","","","","","","reference","","",""
"bb0c9c68-1401-4c21-af8a-57fcdc841bc9","Tite_entries_entry-41.0_julius-cix.txt","(? of fols 25-77, artt. 6-7) George Allington, by       1611 (58.2, 60.4);","char-offset:304","","","","","","","","","Loan","","",""
