"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"24bca207-2d4d-4a2a-8d51-c9f24e30c23d","Tite_entries_entry-519.0_galba-cvi.txt","Bulstrode Whitelocke","char-offset:1011","PERSON","","","","","","","","","","",""
"400d1ba7-da89-4efa-894f-d2f4fbf6240e","Tite_entries_entry-519.0_galba-cvi.txt","Bulstrode Whitelocke, 1652 (231.16).","char-offset:1011","","","","","","","","","Loan","","",""
"0e18dc2d-5e5e-4685-a9c0-5dac8ab7f688","Tite_entries_entry-519.0_galba-cvi.txt","1652","char-offset:1033","","","","","","","","","Date","","",""
"d4e217aa-81c6-4e8b-9ed6-a87d214bf7b1","Tite_entries_entry-519.0_galba-cvi.txt","231.16","char-offset:1039","","","","","","","","","List Reference","","",""
"9345b7ed-96d8-4b81-9ebe-046dd44a638a","Tite_entries_entry-521.0_galba-cviii.txt","Bulstrode Whitelocke","char-offset:917","PERSON","","","","","","","","","","",""
"044f058c-1dfb-4f19-a032-06ca145dcd30","Tite_entries_entry-521.0_galba-cviii.txt","Bulstrode Whitelocke, 1652 (231.18).","char-offset:917","","","","","","","","","Loan","","",""
"22d71c13-114a-4c0e-b062-f0d702b721d9","Tite_entries_entry-521.0_galba-cviii.txt","1652","char-offset:939","","","","","","","","","Date","","",""
"b0049ba9-960b-4ea3-a8e9-966b30d965e8","Tite_entries_entry-521.0_galba-cviii.txt","231.18","char-offset:945","","","","","","","","","List Reference","","",""
"2d1ada33-4b96-48fc-97ea-d92e963f6784","Tite_entries_entry-525.0_galba-cx.txt","Robert","char-offset:643","PERSON","","","","","","","","Uncertain Person","Cecil","",""
"ac1ce412-599d-4816-b469-9a01a915c1f6","Tite_entries_entry-525.0_galba-cx.txt","Robert or William Cecil, earls of Salisbury, 1611 (or        1612) or 1617 (or 1618), by request of Anthony Forest       (85.2: ? this)","char-offset:643","","","","","","","","","Loan|Uncertain Book","","",""
"02a75b4f-963c-4d01-9f63-94e8be086891","Tite_entries_entry-525.0_galba-cx.txt","William Cecil","char-offset:653","PERSON","","","","","","","","Uncertain Person","","",""
"da7a66bd-63d3-4f48-9e26-1b6173a96488","Tite_entries_entry-525.0_galba-cx.txt","1611","char-offset:688","","","","","","","","","Date","","",""
"09c866fa-07cd-4103-8d63-b2f0a68dd889","Tite_entries_entry-525.0_galba-cx.txt","1618","char-offset:722","","","","","","","","","Date|Uncertain Date","","",""
"35a8b1a2-c67e-4eca-9ee1-9cb14087e201","Tite_entries_entry-525.0_galba-cx.txt","Anthony Forest","char-offset:743","PERSON","","","","","","","","Agent","","",""
"572a3be9-efe7-4731-9f07-e4e158623efb","Tite_entries_entry-525.0_galba-cx.txt","85.2","char-offset:765","","","","","","","","","List Reference","","",""
"5847d3da-bffe-474b-a724-7c8cb8bdda79","Tite_entries_entry-525.0_galba-cx.txt","Bulstrode Whitelocke, 1652 (231.20).","char-offset:780","","","","","","","","","Loan","","",""
"00e932db-f466-41f0-8eef-56e04b0542ba","Tite_entries_entry-525.0_galba-cx.txt","Bulstrode Whitelocke","char-offset:780","PERSON","","","","","","","","","","",""
"be47a665-d012-4dc5-9ccc-9d35e9a2949b","Tite_entries_entry-525.0_galba-cx.txt","1652","char-offset:802","","","","","","","","","Date","","",""
"9ee822c2-5145-4db6-a445-700e17dd9b0c","Tite_entries_entry-525.0_galba-cx.txt","231.20","char-offset:808","","","","","","","","","List Reference","","",""
"67056d70-0eb9-423c-ab90-4ea41736c01e","Tite_entries_entry-526.0_galba-cxi.txt","Bulstrode  Whitelocke","char-offset:950","PERSON","","","","","","","","","","",""
"885f80ba-1294-4d57-be8d-0ec68e69c7e3","Tite_entries_entry-526.0_galba-cxi.txt","Bulstrode  Whitelocke, 1652 (231.21).","char-offset:950","","","","","","","","","Loan","","",""
"536efe2f-9e6c-440e-b3d7-c699ce3da4bf","Tite_entries_entry-526.0_galba-cxi.txt","1652","char-offset:973","","","","","","","","","Date","","",""
"a22c7627-e921-479e-ad2c-6f647a3b5413","Tite_entries_entry-526.0_galba-cxi.txt","231.21","char-offset:979","","","","","","","","","List Reference","","",""
"e5544303-6c20-4c36-ab69-2a237d4d710a","Tite_entries_entry-520.0_galba-cvii.txt","Bulstrode Whitelocke","char-offset:981","PERSON","","","","","","","","","","",""
"ef63fb12-08e9-4ae0-af55-2253fd514a2d","Tite_entries_entry-520.0_galba-cvii.txt","Bulstrode Whitelocke, 1652 (231.17).","char-offset:981","","","","","","","","","Loan","","",""
"f1acfea7-c963-4fea-bd83-b61aa6b6b06b","Tite_entries_entry-520.0_galba-cvii.txt","1652","char-offset:1003","","","","","","","","","Date","","",""
"aa41f5ae-fed0-40f3-ad10-cf02252430cb","Tite_entries_entry-520.0_galba-cvii.txt","231.17","char-offset:1009","","","","","","","","","List Reference","","",""
"46c8e419-e6fa-4f40-ac7e-5e4aea0942ee","Tite_entries_entry-524.0_galba-cix.txt","Bulstrode Whitelocke","char-offset:690","PERSON","","","","","","","","","","",""
"f0b12ef2-a0c1-4d84-bb79-a2d358c1c551","Tite_entries_entry-524.0_galba-cix.txt","Bulstrode Whitelocke, 1652 (231.19).","char-offset:690","","","","","","","","","Loan","","",""
"f22151ee-b826-40ea-8736-6f60031efa98","Tite_entries_entry-524.0_galba-cix.txt","1652","char-offset:712","","","","","","","","","Date","","",""
"1c2397cd-bafa-4d2e-a54a-0d09e7caa48e","Tite_entries_entry-524.0_galba-cix.txt","(231.19)","char-offset:717","","","","","","","","","List Reference","","",""
"beb1cbfe-ca66-4885-982d-a17a2f5ce173","Tite_entries_entry-515.0_galba-cii.txt","Bulstrode Whitelocke, 1652  (231.12)","char-offset:443","","","","","","","","","Loan","","",""
"5afb7502-85bd-4d85-aabb-dd315c33644e","Tite_entries_entry-515.0_galba-cii.txt","Bulstrode Whitelocke","char-offset:443","PERSON","","","","","","","","","","",""
"da220385-82e0-4449-9b2d-b89c5f80c66d","Tite_entries_entry-515.0_galba-cii.txt","1652","char-offset:465","","","","","","","","","Date","","",""
"b5a5320b-e677-4e80-9a22-a40ed461bc57","Tite_entries_entry-515.0_galba-cii.txt","231.12","char-offset:472","","","","","","","","","List Reference","","",""
"69458807-0fb0-439b-b469-d117785f1984","Tite_entries_entry-513.0_galba-ci.txt","Bulstrode Whitelocke, 1652 (231.11).","char-offset:327","","","","","","","","","Loan","","",""
"faa2540f-b24e-4720-ab3d-fa5313e5c810","Tite_entries_entry-513.0_galba-ci.txt","Bulstrode Whitelocke","char-offset:327","PERSON","","","","","","","","Date","","",""
"3215a6ad-045e-43ee-b2b7-b3d82d1d39ae","Tite_entries_entry-513.0_galba-ci.txt","1652","char-offset:349","","","","","","","","","Date","","",""
"55616806-c471-4bcd-8352-98a91d7d44fb","Tite_entries_entry-513.0_galba-ci.txt","231.11","char-offset:355","","","","","","","","","List Reference","","",""
"cf33ac58-e42c-4eee-9b42-0b5e28c40f45","Tite_entries_entry-518.0_galba-cv.txt","Bulstrode Whitelocke,  1652 (231.15).","char-offset:300","","","","","","","","","Loan","","",""
"2c92137d-ce50-40f4-b1cd-d513ee4b00ab","Tite_entries_entry-518.0_galba-cv.txt","Bulstrode Whitelocke","char-offset:300","PERSON","","","","","","","","","","",""
"04a57173-3b50-42b3-8a50-18f8ee9d3c0c","Tite_entries_entry-518.0_galba-cv.txt","1652","char-offset:323","","","","","","","","","Date","","",""
"be8bb0f4-4065-451f-bcb9-268b899f0533","Tite_entries_entry-518.0_galba-cv.txt","231.15","char-offset:329","","","","","","","","","List Reference","","",""
"57ebf6d0-1eee-49be-91a3-19141f95e908","Tite_entries_entry-517.0_galba-civ.txt","Bulstrode Whitelocke, 1652 (231.14).","char-offset:372","","","","","","","","","Loan","","",""
"4e41534e-78dd-4024-baba-58c139f626da","Tite_entries_entry-517.0_galba-civ.txt","Bulstrode Whitelocke","char-offset:372","PERSON","","","","","","","","","","",""
"d86dd818-f2df-470c-8ba4-c10888e79e47","Tite_entries_entry-517.0_galba-civ.txt","1652","char-offset:394","","","","","","","","","Date","","",""
"324b566f-5a88-46d5-80cd-8c4c25cae409","Tite_entries_entry-517.0_galba-civ.txt","231.14","char-offset:400","","","","","","","","","List Reference","","",""
"4a7233ee-d81f-43ae-86b3-b37849e65f61","Tite_entries_entry-516.0_galba-ciii.txt","Bulstrode Whitelocke, 1652 (231.13)","char-offset:394","","","","","","","","","Loan","","",""
"fa0b66ce-c6f9-4f31-93ab-5f05e0578ef9","Tite_entries_entry-516.0_galba-ciii.txt","Bulstrode Whitelocke","char-offset:394","PERSON","","","","","","","","","","",""
"6bea433d-f922-4730-960b-6d1e068bda21","Tite_entries_entry-516.0_galba-ciii.txt","1652","char-offset:416","","","","","","","","","Date","","",""
"efa81cb0-db26-4bb1-8cdc-b29df9927a6d","Tite_entries_entry-516.0_galba-ciii.txt","231.13","char-offset:422","","","","","","","","","List Reference","","",""
