"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2f240c0f-e78f-4db0-bb27-025142fc80c7","Tite_entries_entry-1285.0_cleopatra-ei.txt","(? of fols 183-87, art. 41) Crashaw, 1610 (Jul. C.III,         fol. 125);","char-offset:1064","","","","","","","","","Loan","","",""
"ec4af469-33a2-4fdc-b619-0d036d36029e","Tite_entries_entry-1285.0_cleopatra-ei.txt","? of fols 183-87, art. 41","char-offset:1065","","","","","","","","","Partial","","",""
"ba7db4d9-c89c-41ba-afbd-2de9cbc292a0","Tite_entries_entry-1285.0_cleopatra-ei.txt","Crashaw","char-offset:1092","PERSON","","","","","","","","","William Crashaw
","",""
"7b4c6306-2e71-41df-b221-216412e5aec0","Tite_entries_entry-1285.0_cleopatra-ei.txt","1610","char-offset:1101","","","","","","","","","Date","","",""
"0e561b01-1b7a-46a3-84cd-3647908190a1","Tite_entries_entry-1285.0_cleopatra-ei.txt","Jul. C.III,         fol. 125","char-offset:1107","","","","","","","","","List Reference","","",""
"6f924109-694c-4d4a-b3a0-7f6e21b811ad","Tite_entries_entry-1285.0_cleopatra-ei.txt","Richard  Bancroft","char-offset:1138","PERSON","","","","","","","","","","",""
"2ac6e3e8-d298-445a-871f-727d7e7ac7ea","Tite_entries_entry-1285.0_cleopatra-ei.txt","Richard  Bancroft,  1607-10,  by  hand  of         Zachariah Pasfeild (30.6: this, Cleo. E.II, III, F.1 or 11);","char-offset:1138","","","","","","","","","Loan","","",""
"bf2b23a1-9810-4dbc-a4cc-76a2d0d26da9","Tite_entries_entry-1285.0_cleopatra-ei.txt","1607-10,","char-offset:1158","","","","","","","","","Date","","",""
"794d9648-eab5-4601-a185-c049bcdf6cdf","Tite_entries_entry-1285.0_cleopatra-ei.txt","Zachariah Pasfeild","char-offset:1189","PERSON","","","","","","","","Agent","","",""
"19e61925-3994-429f-8e85-213ecf578895","Tite_entries_entry-1285.0_cleopatra-ei.txt","30.6","char-offset:1209","","","","","","","","","List Reference","","",""
"b4a7c6a5-5196-4634-a295-65f27aed923a","Tite_entries_entry-1285.0_cleopatra-ei.txt","his, Cleo. E.II, III, F.1 or 11","char-offset:1216","","","","","","","","","Uncertain Book","","",""
"c595def0-b904-4dd3-9665-7b870fa05362","Tite_entries_entry-1285.0_cleopatra-ei.txt","Bancroft or George  Abbot,  1610-12, via Hart  (131.1:         this, Cleo. E.II, III, F.I or ID)","char-offset:1258","","","","","","","","","Loan","","",""
"bb9a25ee-4260-4109-b96a-ac2b51ff3361","Tite_entries_entry-1285.0_cleopatra-ei.txt","Bancroft","char-offset:1258","PERSON","","","","","","","","Uncertain Person","Richard Bancroft
","",""
"9a4ccb29-b092-4a7e-af94-66017a6993db","Tite_entries_entry-1285.0_cleopatra-ei.txt","George  Abbot","char-offset:1270","PERSON","","","","","","","","Uncertain Person","","",""
"b7309578-5763-45e7-9a29-8ed8952f05c7","Tite_entries_entry-1285.0_cleopatra-ei.txt","1610-12","char-offset:1286","","","","","","","","","Date","","",""
"4d7ffaf0-9aa6-435d-b516-bc226c10183c","Tite_entries_entry-1285.0_cleopatra-ei.txt","Hart","char-offset:1299","PERSON","","","","","","","","Agent","","",""
"cfdd7d58-d404-423c-88c2-16f604c0e20e","Tite_entries_entry-1285.0_cleopatra-ei.txt","(131.1","char-offset:1305","","","","","","","","","List Reference","","",""
"311fab42-1334-401b-949c-4704830c45ef","Tite_entries_entry-1285.0_cleopatra-ei.txt","this, Cleo. E.II, III, F.I or ID","char-offset:1321","","","","","","","","","Uncertain Book","","",""
"13f0fb1b-7bf4-431d-bdee-7b262224bac6","Tite_entries_entry-1285.0_cleopatra-ei.txt","(? of fols 183-87, art. 41,        of this or ? Cleo. B.XII) Henry Howard,  ¢.1612 (21.6);","char-offset:1356","","","","","","","","","Loan","","",""
"8ed6cea6-dd0d-44ec-a242-f9aebd05157d","Tite_entries_entry-1285.0_cleopatra-ei.txt","? of fols 183-87, art. 41,        of this or ? Cleo. B.XII","char-offset:1357","","","","","","","","","Partial|Uncertain Book","","",""
"608c4a69-7f8d-4705-b167-57125a31787a","Tite_entries_entry-1285.0_cleopatra-ei.txt","Henry Howard","char-offset:1417","PERSON","","","","","","","","","","",""
"b5e91c05-c4b7-41a0-910f-9f45147bce93","Tite_entries_entry-1285.0_cleopatra-ei.txt","¢.1612","char-offset:1432","","","","","","","","","Date","","",""
"3488cd55-cd0e-48e8-bfc5-b0c11ef7a5a4","Tite_entries_entry-1285.0_cleopatra-ei.txt","(21.6","char-offset:1439","","","","","","","","","List Reference","","",""
"dc20afac-e1e8-4f7e-9b71-12bedb74bbd6","Tite_entries_entry-1285.0_cleopatra-ei.txt","(? of fols 183-87, art. 41) ? James I, ¢.1615-17 (93.3: ?         this)","char-offset:1455","","","","","","","","","Loan|Uncertain Book","","",""
"c6aa6839-ae39-4eee-b296-a56843a10c67","Tite_entries_entry-1285.0_cleopatra-ei.txt","? of fols 183-87, art. 41","char-offset:1456","","","","","","","","","Partial","","",""
"61a5b687-f5b2-40a5-bb66-290cbeb81ba4","Tite_entries_entry-1285.0_cleopatra-ei.txt","? James I","char-offset:1483","PERSON","","","","","","","","Uncertain Person","","",""
"aa61630a-0e23-4010-8a35-bb70341ba165","Tite_entries_entry-1285.0_cleopatra-ei.txt","¢.1615-17","char-offset:1494","","","","","","","","","Date","","",""
"9200f51b-65d4-456a-adf2-e2b02b1dffdf","Tite_entries_entry-1285.0_cleopatra-ei.txt","93.3","char-offset:1505","","","","","","","","","List Reference","","",""
"b69de943-6d68-4773-915e-bb7058ee1ce4","Tite_entries_entry-1285.0_cleopatra-ei.txt","(? of fol. 213, art. 54) ? James I, c.1615-17 (93.4:         ? this);","char-offset:1528","","","","","","","","","Loan|Uncertain Book","","",""
"1c5c1480-b865-487a-989a-a7d9b789d878","Tite_entries_entry-1285.0_cleopatra-ei.txt","? of fol. 213, art. 54","char-offset:1529","","","","","","","","","Partial","","",""
"8690bd35-7f67-4b62-b4fb-2b5a07dec604","Tite_entries_entry-1285.0_cleopatra-ei.txt","? James I","char-offset:1553","PERSON","","","","","","","","Uncertain Person","","",""
"cffc705e-5711-4ce6-bc47-fe1247bb6a3d","Tite_entries_entry-1285.0_cleopatra-ei.txt","c.1615-17","char-offset:1564","","","","","","","","","List Reference","","",""
"6fa62011-541c-4c8b-9ce3-54272c374d4b","Tite_entries_entry-1285.0_cleopatra-ei.txt","93.4","char-offset:1575","","","","","","","","","List Reference","","",""
"b9942b3a-ea53-4ca9-b90b-4a449deecaee","Tite_entries_entry-1285.0_cleopatra-ei.txt","(? of fols 155-56, art. 39) ? James I, c.1615-17         (93.5: ? this)","char-offset:1598","","","","","","","","","Loan|Uncertain Book","","",""
"2883cd6d-8dcf-48d3-82b2-9ac51ebe27ce","Tite_entries_entry-1285.0_cleopatra-ei.txt","? of fols 155-56, art. 39","char-offset:1599","","","","","","","","","List Reference","","",""
