AbeSeis2	1.   Aberdeen,  Aberdeen City Archives: Minute Book of Seisins ii    [2 records] 	Aberdeen
AbeSeis3	2.   Aberdeen,  Aberdeen City Archives: Minute Book of Seisins iii    [1 records] 	Aberdeen
AbeSas1	3.   Aberdeen,  Aberdeen Town House: City Charter Room Sasine Register, 1.774    [1 records] 	Aberdeen
AbeUL21	4.   Aberdeen,  Aberdeen University Library: 21    [9 records] 	Aberdeen
AbeUL123	5.   Aberdeen,  Aberdeen University Library: 123    [2 records] 	Aberdeen
AbeUL154	6.   Aberdeen,  Aberdeen University Library: 154    [4 records] 	Aberdeen
AbeUL223	7.   Aberdeen,  Aberdeen University Library: 223    [2 records] 	Aberdeen
AbeUL258	8.   Aberdeen,  Aberdeen University Library: 258    [1 records] 	Aberdeen
NLW258	1.   Aberystwyth,  National Library of Wales: MS 258   	Aberystwyth
NLW441C	2.   Aberystwyth,  National Library of Wales: MS 441C    [4 records] 	Aberystwyth
NLW572	3.   Aberystwyth,  National Library of Wales: MS 572    [1 records] 	Aberystwyth
NLW733B	4.   Aberystwyth,  National Library of Wales: MS 733B    [2 records] 	Aberystwyth
NLW734B	5.   Aberystwyth,  National Library of Wales: MS 734B    [1 records] 	Aberystwyth
NLW3041	6.   Aberystwyth,  National Library of Wales: MS 3041 (olim Mostyn 133)    [3 records] 	Aberystwyth
NLW5043	7.   Aberystwyth,  National Library of Wales: MS 5043    [4 records] 	Aberystwyth
NLW21242	8.   Aberystwyth,  National Library of Wales: MS 21242   	Aberystwyth
NLW21972D	9.   Aberystwyth,  National Library of Wales: MS 21972D [Merthyr fragment]    [3 records] 	Aberystwyth
NLWAd.441C	10.   Aberystwyth,  National Library of Wales: Add. 441C    [3 records] 	Aberystwyth
NLWLan4	11.   Aberystwyth,  National Library of Wales: Llanstephan 4    [1 records] 	Aberystwyth
NLWLan53	12.   Aberystwyth,  National Library of Wales: Llanstephan 53 [olim Sherburn               E.1]    [1 records] 	Aberystwyth
NLWLan119	13.   Aberystwyth,  National Library of Wales: Llanstephan 119    [8 records] 	Aberystwyth
NLWLan164	14.   Aberystwyth,  National Library of Wales: Llanstephan 164    [1 records] 	Aberystwyth
NLWMost129	15.   Aberystwyth,  National Library of Wales: Mostyn Welsh 129    [5 records] 	Aberystwyth
NLWPen22	16.   Aberystwyth,  National Library of Wales: Peniarth 22    [1 records] 	Aberystwyth
NLWPen26	17.   Aberystwyth,  National Library of Wales: Peniarth 26 [olim Hengwrt 133]    [10 records] 	Aberystwyth
NLWPen27	18.   Aberystwyth,  National Library of Wales: Peniarth 27    [1 records] 	Aberystwyth
NLWPen50	19.   Aberystwyth,  National Library of Wales: Peniarth 50    [7 records] 	Aberystwyth
NLWPen53	20.   Aberystwyth,  National Library of Wales: Peniarth 53    [3 records] 	Aberystwyth
NLWPen58	21.   Aberystwyth,  National Library of Wales: Peniarth 58    [1 records] 	Aberystwyth
NLWPen92	22.   Aberystwyth,  National Library of Wales: Peniarth 92    [1 records] 	Aberystwyth
NLWPen94	23.   Aberystwyth,  National Library of Wales: Peniarth 94 [olim Hengwrt 412]    [3 records] 	Aberystwyth
NLWPen98	24.   Aberystwyth,  National Library of Wales: Peniarth 98 [olim Hengwrt 479]    [2 records] 	Aberystwyth
NLWPen111	25.   Aberystwyth,  National Library of Wales: Peniarth 111 [olim Hengwrt 294]    [1 records] 	Aberystwyth
NLWPen114	26.   Aberystwyth,  National Library of Wales: Peniarth 114    [1 records] 	Aberystwyth
NLWPen196	27.   Aberystwyth,  National Library of Wales: Peniarth 196    [1 records] 	Aberystwyth
NLWPen334A	28.   Aberystwyth,  National Library of Wales: Peniarth 334A    [1 records] 	Aberystwyth
NLWPen356	29.   Aberystwyth,  National Library of Wales: Peniarth 356    [11 records] 	Aberystwyth
NLWPen392	30.   Aberystwyth,  National Library of Wales: Peniarth 392 D [‘Hengwrt’]    [48 records] 	Aberystwyth
NLWPen394	31.   Aberystwyth,  National Library of Wales: Peniarth 394    [2 records] 	Aberystwyth
NLWPen395	32.   Aberystwyth,  National Library of Wales: Peniarth 395D    [4 records] 	Aberystwyth
NLWPen396D	33.   Aberystwyth,  National Library of Wales: Peniarth 396D    [3 records] 	Aberystwyth
NLWPen399	34.   Aberystwyth,  National Library of Wales: Peniarth 399    [1 records] 	Aberystwyth
NLWPen481	35.   Aberystwyth,  National Library of Wales: Peniarth 481    [2 records] 	Aberystwyth
NLWPork10	36.   Aberystwyth,  National Library of Wales: Brogyntyn ii.1 [olim Porkington 10]    [33 records] 	Aberystwyth
NLWPork20	37.   Aberystwyth,  National Library of Wales: Porkington 20    [3 records] 	Aberystwyth
