Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 1	A a my heart I know you well	A song of penitence — one 8-line stanza			penance; songs, spiritual	— eight-line	Cf. 123; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 78.
DIMEV 2	A a petipas / Yet I am / There I was	Children’s rhyme used in game: How many miles to Beverley — three short lines			games; children’s rhymes; sermons, verse in	— three-line — aba	Cf. Opie and Opie (1951) XIona Archibald Opie, and Peter Opie. The Oxford Dictionary of Nursery Rhymes. Oxford: Clarendon, 1951, no. 26; also Langbaine (1691) XLangbaine, Gerald. “Adversaria” An Account of the English Dramatick Poets. London, 1691. re: Bodl. 8617 (apparently in Wood) [0.3]; may have something to do with children’s rhymes, 384.
DIMEV 3	A babe is born all of a may / In the salvation of us	An Epiphany carol — five quatrains with Latin caudae			Epiphany, carols for; carols	— four-line — abab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1628; for a variant, see 5565.
DIMEV 4	A babe is born of high nature / The Prince of peace	A New Year carol — four 7-line stanzas (ababccd) including 3-line refrain, plus 2-line burden (cd): ‘Qwat tydynges bryngyst þu massager / Of cristys berthe þis ȝolys day’		John Audelay (?)	carols; dialogues; New Year, carols	— seven-line — ababccd	Cf. Copley (1959) XCopley, J. “A Popular Fifteenth-century Carol.” Notes and Queries n.s. 6 [204] (1959): 387-9, 387-89.
DIMEV 5	A babe is born our bliss to bring	A dialogue between the Virgin Mary and her Child — eleven quatrains (aaab) plus burden (cc): ‘Now synge we with angelis / Gloria in excelsis’			dialogues, Virgin and Christ; Virgin Mary	— four-line — aaab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1.
DIMEV 6	A barge to bearen fro deep grounds	‘Crux est’ — four lines			cross	— two-line — aa	
DIMEV 7	A bastard shall come out of the west	‘When England shall be Britain’, a political prophecy — one cross-rhymed quatrain			prophecies, political	— four-line — abab	An extract from 620, Thomas of Erceldoune’s Prophecy. See Murray (1875) XMurray, J. A. H. The Romance and Prophecies of Thomas of Erceldoune EETS 61 o.s. 61 (1875); repr. 1987.
DIMEV 8	A beater beat me of price	Nonsense rhymes — two couplets			nonsense verse	— two-line — aa	
DIMEV 9	A bird in cage fast locked with gold	On desire for liberty — two cross-rhymed quatrains			prison/prisoners	— four-line — abab	
DIMEV 10	A bishop woned beyond the sea / In Sicily the rich city	The Legend of Theophilus in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		legends; Theophilus, saint, legend of; Virgin Mary, miracles of	— two-line — aa	
DIMEV 11	A black monk in an abbey / As fermerer as I heard say	The monk who returned from death, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Virgin Mary, miracles of; miracles	— two-line — aa	
DIMEV 12	A black monk was Segrestin	Segrestin, a miracle of the Virgin Mary in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		miracles; Virgin Mary, miracles of	— two-line — aa	
