City,latitude,longitude,Shelfmark,MS,Fake date
Aberdeen,57.149468191507914,-2.0934406882305927,AbeSeis2,Aberdeen City Archives: Minute Book of Seisins ii,1351-10-21
Aberdeen,57.149468191507914,-2.0934406882305927,AbeSeis3,Aberdeen City Archives: Minute Book of Seisins iii,1331-2-5
Aberdeen,57.149468191507914,-2.0934406882305927,AbeSas1,"Aberdeen Town House: City Charter Room Sasine Register, 1.774",1378-9-25
Aberdeen,57.149468191507914,-2.0934406882305927,AbeUL21,Aberdeen University Library: 21,1391-4-18
Aberdeen,57.149468191507914,-2.0934406882305927,AbeUL123,Aberdeen University Library: 123,1305-11-20
Aberdeen,57.149468191507914,-2.0934406882305927,AbeUL154,Aberdeen University Library: 154,1388-3-24
Aberdeen,57.149468191507914,-2.0934406882305927,AbeUL223,Aberdeen University Library: 223,1348-3-1
Aberdeen,57.149468191507914,-2.0934406882305927,AbeUL258,Aberdeen University Library: 258,1365-8-12
Aberystwyth,52.41514844957309,-4.082833471429277,NLW258,National Library of Wales: MS 258,1389-8-14
Aberystwyth,52.41514844957309,-4.082833471429277,NLW441C,National Library of Wales: MS 441C,1337-5-4
Aberystwyth,52.41514844957309,-4.082833471429277,NLW572,National Library of Wales: MS 572,1354-4-18
Aberystwyth,52.41514844957309,-4.082833471429277,NLW733B,National Library of Wales: MS 733B,1350-4-3
Aberystwyth,52.41514844957309,-4.082833471429277,NLW734B,National Library of Wales: MS 734B,1349-2-2
Aberystwyth,52.41514844957309,-4.082833471429277,NLW3041,National Library of Wales: MS 3041 (olim Mostyn 133),1371-7-15
Aberystwyth,52.41514844957309,-4.082833471429277,NLW5043,National Library of Wales: MS 5043,1329-11-2
Aberystwyth,52.41514844957309,-4.082833471429277,NLW21242,National Library of Wales: MS 21242,1395-1-16
Aberystwyth,52.41514844957309,-4.082833471429277,NLW21972D,National Library of Wales: MS 21972D,1363-6-2
Aberystwyth,52.41514844957309,-4.082833471429277,NLWAd.441C,National Library of Wales: Add. 441C,1349-6-15
Aberystwyth,52.41514844957309,-4.082833471429277,NLWLan4,National Library of Wales: Llanstephan 4,1309-2-13
Aberystwyth,52.41514844957309,-4.082833471429277,NLWLan53,National Library of Wales: Llanstephan 53,1358-8-8
Aberystwyth,52.41514844957309,-4.082833471429277,NLWLan119,National Library of Wales: Llanstephan 119,1344-9-27
Aberystwyth,52.41514844957309,-4.082833471429277,NLWLan164,National Library of Wales: Llanstephan 164,1343-3-13
Aberystwyth,52.41514844957309,-4.082833471429277,NLWMost129,National Library of Wales: Mostyn Welsh 129,1393-3-9
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen22,National Library of Wales: Peniarth 22,1384-1-12
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen26,National Library of Wales: Peniarth 26,1371-10-15
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen27,National Library of Wales: Peniarth 27,1369-9-14
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen50,National Library of Wales: Peniarth 50,1340-5-6
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen53,National Library of Wales: Peniarth 53,1315-8-2
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen58,National Library of Wales: Peniarth 58,1300-5-6
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen92,National Library of Wales: Peniarth 92,1337-5-21
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen94,National Library of Wales: Peniarth 94,1330-9-8
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen98,National Library of Wales: Peniarth 98,1366-11-5
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen111,National Library of Wales: Peniarth 111,1333-11-20
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen114,National Library of Wales: Peniarth 114,1389-8-6
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen196,National Library of Wales: Peniarth 196,1309-2-9
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen334A,National Library of Wales: Peniarth 334A,1397-9-26
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen356,National Library of Wales: Peniarth 356,1316-6-26
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen392,National Library of Wales: Peniarth 392 D,1366-7-14
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen394,National Library of Wales: Peniarth 394,1371-6-27
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen395,National Library of Wales: Peniarth 395D,1383-2-9
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen396D,National Library of Wales: Peniarth 396D,1344-10-24
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen399,National Library of Wales: Peniarth 399,1322-3-12
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPen481,National Library of Wales: Peniarth 481,1319-1-14
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPork10,National Library of Wales: Brogyntyn ii.1,1309-9-15
Aberystwyth,52.41514844957309,-4.082833471429277,NLWPork20,National Library of Wales: Porkington 20,1304-7-6
Aberystwyth,52.41514844957309,-4.082833471429277,Mostyn85,National Library of Wales: MS 21242C,1378-11-21
Alnwick Castle,55.415594941119146,-1.7059418570900555,Alnwick79,"Alnwick Castle,  Duke of Northumberland: MS 79",1303-4-2
Alnwick Castle,55.415594941119146,-1.7059418570900555,Alnwick82,"Alnwick Castle,  Duke of Northumberland: MS 82",1353-9-27
