Id,Count,Label
1,1,Text
10,14,Text
100,3,Text
1000,3,Text
1001,1,Text
1002,1,Text
1003,1,Text
1004,1,Text
1005,2,Text
1006,1,Text
1007,1,Text
1008,2,Text
1009,1,Text
101,1,Text
1010,1,Text
1011,5,Text
1012,1,Text
1013,10,Text
1014,13,Text
1015,1,Text
1016,4,Text
1017,1,Text
1018,16,Text
1019,1,Text
102,1,Text
1020,2,Text
1021,2,Text
1022,1,Text
1023,1,Text
1024,3,Text
1025,1,Text
1026,1,Text
1027,1,Text
1028,1,Text
1029,1,Text
103,1,Text
1030,1,Text
1031,1,Text
1032,1,Text
1033,5,Text
1034,1,Text
1035,1,Text
1036,1,Text
1037,1,Text
1038,3,Text
1039,1,Text
104,1,Text
1040,1,Text
1041,1,Text
1042,1,Text
1043,1,Text
1044,1,Text
1045,1,Text
1046,1,Text
1047,1,Text
1048,1,Text
1049,1,Text
105,1,Text
1050,1,Text
1051,1,Text
1052,1,Text
1053,1,Text
1054,1,Text
1055,1,Text
1056,1,Text
1057,1,Text
1058,1,Text
1059,2,Text
106,1,Text
1060,1,Text
1061,3,Text
1062,1,Text
1063,2,Text
1064,2,Text
1065,1,Text
1066,1,Text
1067,2,Text
1068,1,Text
1069,1,Text
107,1,Text
1070,7,Text
1071,4,Text
1072,2,Text
1073,1,Text
1074,1,Text
1075,12,Text
1076,1,Text
1077,1,Text
1078,1,Text
1079,1,Text
108,1,Text
1080,1,Text
1081,1,Text
1082,1,Text
1083,1,Text
1084,1,Text
1085,1,Text
1086,3,Text
1087,1,Text
1088,1,Text
1089,1,Text
109,1,Text
1090,1,Text
1091,1,Text
1092,10,Text
1093,1,Text
1094,1,Text
1095,1,Text
1096,1,Text
1097,1,Text
1098,4,Text
1099,3,Text
11,14,Text
110,1,Text
1100,1,Text
1101,1,Text
1102,1,Text
1103,1,Text
1104,1,Text
1105,1,Text
1106,2,Text
1107,1,Text
1108,13,Text
1109,1,Text
111,1,Text
1110,1,Text
1111,1,Text
1112,4,Text
1113,1,Text
1114,1,Text
1115,1,Text
1116,1,Text
1117,1,Text
1118,1,Text
1119,2,Text
112,4,Text
1120,1,Text
1121,1,Text
1122,2,Text
1123,2,Text
1124,3,Text
1125,1,Text
1126,1,Text
1127,1,Text
1128,1,Text
1129,1,Text
113,1,Text
1130,1,Text
1131,5,Text
1132,1,Text
1133,1,Text
1134,1,Text
1135,1,Text
1136,1,Text
1137,2,Text
1138,1,Text
1139,1,Text
114,1,Text
1140,1,Text
1141,1,Text
1142,5,Text
1143,1,Text
1144,1,Text
1145,2,Text
1146,2,Text
1147,1,Text
1148,1,Text
1149,1,Text
115,1,Text
1150,1,Text
1151,1,Text
1152,1,Text
1153,1,Text
1154,1,Text
1155,5,Text
1156,1,Text
1157,4,Text
1158,1,Text
1159,1,Text
116,2,Text
1160,3,Text
1161,1,Text
1162,1,Text
1163,2,Text
1164,4,Text
1165,1,Text
1166,1,Text
1167,1,Text
1168,1,Text
1169,1,Text
117,1,Text
1170,16,Text
1171,2,Text
1172,2,Text
1173,2,Text
1174,15,Text
1175,2,Text
1176,1,Text
1177,1,Text
1178,1,Text
1179,12,Text
118,11,Text
1180,5,Text
1181,1,Text
1182,1,Text
1183,1,Text
1184,14,Text
1185,1,Text
1186,1,Text
1187,1,Text
1188,1,Text
1189,1,Text
119,1,Text
1190,1,Text
1191,1,Text
1192,1,Text
1193,6,Text
1194,7,Text
1195,1,Text
1196,1,Text
1197,1,Text
1198,1,Text
1199,1,Text
12,1,Text
120,54,Text
1200,1,Text
1201,1,Text
1202,8,Text
1203,1,Text
1204,1,Text
1205,1,Text
1206,1,Text
1207,1,Text
1208,1,Text
1209,1,Text
121,1,Text
1210,1,Text
1211,1,Text
1212,1,Text
1213,1,Text
1214,1,Text
1215,17,Text
1216,3,Text
1217,3,Text
1218,1,Text
1219,1,Text
